native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
143,143,"2007-12-19 01:30:42",2.3,2007,12,19,f492732e-c0a8-0169-2a8c-eeea9572c607,0,0.99,"issues jira query editing dialog ui"
373,159,"2007-12-19 01:34:15",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,0,0.0157780194540315,"make testReassign31 more robust"
373,159,"2007-12-19 01:34:15",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,1,0.0158364530317369,"make testReassign31 more robust"
373,373,"2007-12-19 01:34:17",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,1,0.99,"make testReassign31 more robust"
143,143,"2007-12-19 01:46:06",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,0,0.00391111921830155,"support Alt+ double click and Ctrl+click"
143,304,"2007-12-19 01:46:06",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00397885671772399,"support Alt+ double click and Ctrl+click"
143,143,"2007-12-19 01:46:06",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00397953171856555,"support Alt+ double click and Ctrl+click"
143,399,"2007-12-19 01:46:06",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00565908344705431,"support Alt+ double click and Ctrl+click"
143,258,"2007-12-19 01:46:06",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00565926836931388,"support Alt+ double click and Ctrl+click"
399,399,"2007-12-19 02:30:45",2.3,2007,12,19,f49268ce-c0a8-0169-2a8c-eeea82937d8c,0,0.0354023277226815,"improve tooltip and notifications"
399,143,"2007-12-19 02:30:45",2.3,2007,12,19,f49268ce-c0a8-0169-2a8c-eeea82937d8c,1,0.035538928851578,"improve tooltip and notifications"
399,304,"2007-12-19 02:30:45",2.3,2007,12,19,f49268ce-c0a8-0169-2a8c-eeea82937d8c,1,0.0391944753320123,"improve tooltip and notifications"
399,399,"2007-12-19 02:30:45",2.3,2007,12,19,f49268ce-c0a8-0169-2a8c-eeea82937d8c,1,0.0399206530080028,"improve tooltip and notifications"
399,143,"2007-12-19 02:51:10",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,0,0.00390913684313032,"support Alt+ double click and Ctrl+click"
399,304,"2007-12-19 02:51:10",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00397676960429228,"support Alt+ double click and Ctrl+click"
399,143,"2007-12-19 02:51:10",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00397744354329387,"support Alt+ double click and Ctrl+click"
399,399,"2007-12-19 02:51:10",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00565308332426775,"support Alt+ double click and Ctrl+click"
399,258,"2007-12-19 02:51:10",2.3,2007,12,19,f490a832-c0a8-0169-2a8c-eeea5474e859,1,0.00565326765893233,"support Alt+ double click and Ctrl+click"
159,159,"2007-12-19 04:47:34",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,0,0.0154030809243081,"make testReassign31 more robust"
159,159,"2007-12-19 04:47:34",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,1,0.0154593172593216,"make testReassign31 more robust"
159,373,"2007-12-19 04:47:34",2.3,2007,12,19,f4925a40-c0a8-0169-2a8c-eeea19dc647c,1,0.0710778577031561,"make testReassign31 more robust"
235,235,"2007-12-19 05:55:49",2.3,2007,12,19,f490809b-c0a8-0169-2a8c-eeea737211f4,0,0.00373675375585225,"[context] Mylyn is not auto-closing editors"
235,235,"2007-12-19 05:55:49",2.3,2007,12,19,f490809b-c0a8-0169-2a8c-eeea737211f4,1,0.00373683361381573,"[context] Mylyn is not auto-closing editors"
235,304,"2007-12-19 05:55:49",2.3,2007,12,19,f490809b-c0a8-0169-2a8c-eeea737211f4,1,0.00378234709631368,"[context] Mylyn is not auto-closing editors"
373,159,"2007-12-19 13:48:20",2.3,2007,12,19,f4920004-c0a8-0169-2a8c-eeea34f89ba9,0,0.00830292687190604,"Bugzilla postData problem for field QA_CONTACT and ASSIGNED_TO"
373,159,"2007-12-19 13:48:20",2.3,2007,12,19,f4920004-c0a8-0169-2a8c-eeea34f89ba9,1,0.0083043872921013,"Bugzilla postData problem for field QA_CONTACT and ASSIGNED_TO"
373,373,"2007-12-19 13:53:51",2.3,2007,12,19,f4920004-c0a8-0169-2a8c-eeea34f89ba9,1,0.404165807559224,"Bugzilla postData problem for field QA_CONTACT and ASSIGNED_TO"
159,159,"2007-12-19 15:09:19",2.3,2007,12,19,f4927387-c0a8-0169-2a8c-eeea563b33cf,0,0.99,"make testReassign22 and testReassign30 more robust"
143,143,"2007-12-19 15:10:07",2.3,2007,12,19,f4925e8f-c0a8-0169-2a8c-eeead9b80280,0,0.0152924251744625,"fix handler conflict in task editor that causes quick fix to get disabled"
159,159,"2007-12-19 15:11:43",2.3,2007,12,19,f4927387-c0a8-0169-2a8c-eeea563b33cf,1,0.99,"make testReassign22 and testReassign30 more robust"
143,143,"2007-12-19 15:42:35",2.3,2007,12,19,f49271ef-c0a8-0169-2a8c-eeea2bd841f1,0,0.0299176953181672,"comment submission failed with Invalid date format"
143,143,"2007-12-19 15:42:35",2.3,2007,12,19,f49271ef-c0a8-0169-2a8c-eeea2bd841f1,1,0.0299313657302666,"comment submission failed with Invalid date format"
143,399,"2007-12-19 15:42:35",2.3,2007,12,19,f49271ef-c0a8-0169-2a8c-eeea2bd841f1,1,0.030041407887203,"comment submission failed with Invalid date format"
399,143,"2007-12-19 16:01:42",2.3,2007,12,19,f49271ef-c0a8-0169-2a8c-eeea2bd841f1,0,0.029661465126743,"comment submission failed with Invalid date format"
