asource	atarget	count(*)
63	373	1
143	159	3
143	304	1
143	399	2
207	373	3
271	304	1
297	159	1
304	159	2
304	304	1
304	373	8
304	399	3
305	159	1
373	373	4
373	399	1
457	159	2
