native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
118,351,"2009-10-26 00:51:03",3.4,2009,10,26,f4afa6b4-c0a8-0169-2a8c-eeea848c0c5b,0,0.0328905469621622,"Alternative text for images should not have parenthesis (Textile)"
118,351,"2009-10-26 00:51:03",3.4,2009,10,26,f4afa6b4-c0a8-0169-2a8c-eeea848c0c5b,1,0.0329269102092681,"Alternative text for images should not have parenthesis (Textile)"
118,118,"2009-10-26 00:51:07",3.4,2009,10,26,f4afa6b4-c0a8-0169-2a8c-eeea848c0c5b,1,0.99,"Alternative text for images should not have parenthesis (Textile)"
118,351,"2009-10-26 01:04:58",3.4,2009,10,26,f4afa70c-c0a8-0169-2a8c-eeeaa118f22f,0,0.0328905469621622,"Textile: ""--"" not converted to mdash when used right after image"
118,118,"2009-10-26 01:05:02",3.4,2009,10,26,f4afa70c-c0a8-0169-2a8c-eeeaa118f22f,1,0.99,"Textile: ""--"" not converted to mdash when used right after image"
399,300,"2009-10-26 08:09:55",3.4,2009,10,26,f4af9e11-c0a8-0169-2a8c-eeea05582c41,0,0.0228265773075805,"provide a help anchor in TOC for connectors"
399,300,"2009-10-26 08:09:55",3.4,2009,10,26,f4af9e11-c0a8-0169-2a8c-eeea05582c41,1,0.0228326473987149,"provide a help anchor in TOC for connectors"
159,159,"2009-10-26 18:26:21",3.4,2009,10,26,f4afa84e-c0a8-0169-2a8c-eeeafad24c5e,0,0.99,"add ETag to RepositoryConfiguration"
159,159,"2009-10-26 19:01:55",3.4,2009,10,26,f4afa84e-c0a8-0169-2a8c-eeeafad24c5e,1,0.99,"add ETag to RepositoryConfiguration"
281,281,"2009-10-28 10:02:57",3.4,2009,10,28,f4afada8-c0a8-0169-2a8c-eeea49036943,0,0.99,"[confluence] Images with align=center should render using <div> in HTML output"
353,353,"2009-10-29 02:24:55",3.4,2009,10,29,f4afaea9-c0a8-0169-2a8c-eeea25012793,0,0.99,"[api] do not enable validate until input errors have been resolved"
304,399,"2009-10-29 04:44:56",3.4,2009,10,29,f4af8fb9-c0a8-0169-2a8c-eeea516c97b3,0,0.00743164500353604,"[discovery] show actual location from which the listing is received"
351,351,"2009-10-29 16:43:43",3.4,2009,10,29,f4afb166-c0a8-0169-2a8c-eeea570015f8,0,0.99,"[Ant] WikiText produces xhtml without required alt tags"
118,281,"2009-10-29 23:04:23",3.4,2009,10,29,f4afada8-c0a8-0169-2a8c-eeea49036943,0,0.0210021215335711,"[confluence] Images with align=center should render using <div> in HTML output"
118,351,"2009-10-29 23:40:04",3.4,2009,10,29,f4afb166-c0a8-0169-2a8c-eeea570015f8,0,0.0484805085805648,"[Ant] WikiText produces xhtml without required alt tags"
118,118,"2009-10-29 23:40:08",3.4,2009,10,29,f4afb166-c0a8-0169-2a8c-eeea570015f8,1,0.99,"[Ant] WikiText produces xhtml without required alt tags"
118,118,"2009-10-29 23:44:09",3.4,2009,10,29,f4afada8-c0a8-0169-2a8c-eeea49036943,1,0.156532744178335,"[confluence] Images with align=center should render using <div> in HTML output"
351,118,"2009-10-30 01:38:33",3.4,2009,10,30,f4afb166-c0a8-0169-2a8c-eeea570015f8,1,0.0907531512057929,"[Ant] WikiText produces xhtml without required alt tags"
281,118,"2009-10-30 02:40:17",3.4,2009,10,30,f4afada8-c0a8-0169-2a8c-eeea49036943,1,0.0673609679265374,"[confluence] Images with align=center should render using <div> in HTML output"
118,351,"2009-10-30 10:51:26",3.4,2009,10,30,f4afb166-c0a8-0169-2a8c-eeea570015f8,1,0.0420990823006937,"[Ant] WikiText produces xhtml without required alt tags"
118,281,"2009-10-30 10:58:11",3.4,2009,10,30,f4afada8-c0a8-0169-2a8c-eeea49036943,1,0.0443629607798739,"[confluence] Images with align=center should render using <div> in HTML output"
118,118,"2009-10-30 11:10:07",3.4,2009,10,30,f4af9542-c0a8-0169-2a8c-eeea5d514bf1,0,0.00867021178982623,"internalLinkPattern is not covered by Markup converstion Ant task documentation"
118,118,"2009-10-30 11:10:13",3.4,2009,10,30,f4af9542-c0a8-0169-2a8c-eeea5d514bf1,1,0.99,"internalLinkPattern is not covered by Markup converstion Ant task documentation"
118,422,"2009-10-30 11:18:05",3.4,2009,10,30,f4ae2b77-c0a8-0169-2a8c-eeea8a976120,0,0.00417587719650473,"[editor/preview] preview should update the view at least on resource change"
118,118,"2009-10-30 11:18:05",3.4,2009,10,30,f4ae2b77-c0a8-0169-2a8c-eeea8a976120,1,0.00536555812179933,"[editor/preview] preview should update the view at least on resource change"
118,422,"2009-10-30 11:18:05",3.4,2009,10,30,f4ae2b77-c0a8-0169-2a8c-eeea8a976120,1,0.00540330551197728,"[editor/preview] preview should update the view at least on resource change"
118,422,"2009-10-30 11:44:14",3.4,2009,10,30,f4af629d-c0a8-0169-2a8c-eeea798dbfaf,0,0.00634850209927627,"[wikiText editor] setting of font size is not honored"
118,118,"2009-10-30 11:44:14",3.4,2009,10,30,f4af629d-c0a8-0169-2a8c-eeea798dbfaf,1,0.00696251427326657,"[wikiText editor] setting of font size is not honored"
399,399,"2009-11-02 13:29:37",3.4,2009,11,2,f4afb55f-c0a8-0169-2a8c-eeeae0bf08f1,0,0.99,"[editor] task editor shows Later when task is scheduled for a past week"
399,399,"2009-11-02 13:56:48",3.4,2009,11,2,f4afb55f-c0a8-0169-2a8c-eeeae0bf08f1,1,0.99,"[editor] task editor shows Later when task is scheduled for a past week"
399,353,"2009-11-02 14:43:45",3.4,2009,11,2,f4afaea9-c0a8-0169-2a8c-eeea25012793,0,0.0122803834055443,"[api] do not enable validate until input errors have been resolved"
399,353,"2009-11-02 14:43:45",3.4,2009,11,2,f4afaea9-c0a8-0169-2a8c-eeea25012793,1,0.0122832187578903,"[api] do not enable validate until input errors have been resolved"
