native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
304,304,"2009-03-17 16:30:26",3.2,2009,3,17,f4a7319f-c0a8-0169-2a8c-eeea098b8142,0,0.00566584487718729,"review web site content and update site links to non-Eclipse.org content"
304,304,"2009-03-17 16:30:26",3.2,2009,3,17,f4a7319f-c0a8-0169-2a8c-eeea098b8142,1,0.00566668015740173,"review web site content and update site links to non-Eclipse.org content"
447,447,"2009-03-18 05:10:10",3.2,2009,3,18,f4a7ece6-c0a8-0169-2a8c-eeeade738a8c,0,0.99,"wikitext-to-dita ant-task removes ""."" from dita file name"
373,304,"2009-03-18 13:15:41",3.2,2009,3,18,f4a7319f-c0a8-0169-2a8c-eeea098b8142,0,0.00555374047220685,"review web site content and update site links to non-Eclipse.org content"
373,304,"2009-03-18 13:15:41",3.2,2009,3,18,f4a7319f-c0a8-0169-2a8c-eeea098b8142,1,0.00555452713957389,"review web site content and update site links to non-Eclipse.org content"
373,373,"2009-03-18 14:34:36",3.2,2009,3,18,f4a7319f-c0a8-0169-2a8c-eeea098b8142,1,0.111383702191676,"review web site content and update site links to non-Eclipse.org content"
118,118,"2009-03-18 15:21:39",3.2,2009,3,18,f4a7a84e-c0a8-0169-2a8c-eeeaed7e9854,0,0.00865264295355677,"WikiText file editor preview is blank the first time it is shown"
118,118,"2009-03-18 15:21:39",3.2,2009,3,18,f4a7a84e-c0a8-0169-2a8c-eeeaed7e9854,1,0.00877309378118586,"WikiText file editor preview is blank the first time it is shown"
118,394,"2009-03-18 15:21:39",3.2,2009,3,18,f4a7a84e-c0a8-0169-2a8c-eeeaed7e9854,1,0.00920263544278028,"WikiText file editor preview is blank the first time it is shown"
118,87,"2009-03-18 15:21:39",3.2,2009,3,18,f4a7a84e-c0a8-0169-2a8c-eeeaed7e9854,1,0.00975191990233136,"WikiText file editor preview is blank the first time it is shown"
118,168,"2009-03-18 15:21:39",3.2,2009,3,18,f4a7a84e-c0a8-0169-2a8c-eeeaed7e9854,1,0.00982996523411924,"WikiText file editor preview is blank the first time it is shown"
118,118,"2009-03-18 15:23:21",3.2,2009,3,18,f4a792ad-c0a8-0169-2a8c-eeeab75d1834,0,0.00748070488184709,"quick outline and outline view are empty after changing the editor's markup language"
118,118,"2009-03-18 15:23:21",3.2,2009,3,18,f4a792ad-c0a8-0169-2a8c-eeeab75d1834,1,0.00748091845456727,"quick outline and outline view are empty after changing the editor's markup language"
118,118,"2009-03-18 15:26:29",3.2,2009,3,18,f4a76f1d-c0a8-0169-2a8c-eeea0b3e0e1c,0,0.0069578699016856,"bullets should use the colour of the surrounding text"
118,118,"2009-03-18 15:26:29",3.2,2009,3,18,f4a76f1d-c0a8-0169-2a8c-eeea0b3e0e1c,1,0.00695821361052577,"bullets should use the colour of the surrounding text"
118,118,"2009-03-18 15:27:59",3.2,2009,3,18,f4a76f75-c0a8-0169-2a8c-eeea0964e03f,0,0.00695821361052577,"Quoted bullets are rendered as though they are one list level deeper"
118,118,"2009-03-18 15:27:59",3.2,2009,3,18,f4a76f75-c0a8-0169-2a8c-eeea0964e03f,1,0.00695821361052577,"Quoted bullets are rendered as though they are one list level deeper"
118,340,"2009-03-18 15:30:27",3.2,2009,3,18,f4a76e0c-c0a8-0169-2a8c-eeeac0ed71f7,0,0.00686095234051915,"Improvement to Confluence dialect"
118,340,"2009-03-18 15:30:27",3.2,2009,3,18,f4a76e0c-c0a8-0169-2a8c-eeeac0ed71f7,1,0.0068611171068486,"Improvement to Confluence dialect"
118,118,"2009-03-18 15:30:27",3.2,2009,3,18,f4a76e0c-c0a8-0169-2a8c-eeeac0ed71f7,1,0.00695563703504812,"Improvement to Confluence dialect"
118,118,"2009-03-18 15:39:23",3.2,2009,3,18,f4a5ee7b-c0a8-0169-2a8c-eeea24e328be,0,0.00364988275205316,"WikiText preferences should have margin"
118,118,"2009-03-18 15:39:23",3.2,2009,3,18,f4a5ee7b-c0a8-0169-2a8c-eeea24e328be,1,0.00364990755714177,"WikiText preferences should have margin"
118,399,"2009-03-18 15:39:23",3.2,2009,3,18,f4a5ee7b-c0a8-0169-2a8c-eeea24e328be,1,0.00721609612973126,"WikiText preferences should have margin"
118,447,"2009-03-18 15:44:10",3.2,2009,3,18,f4a7ece6-c0a8-0169-2a8c-eeeade738a8c,0,0.039286951611561,"wikitext-to-dita ant-task removes ""."" from dita file name"
304,373,"2009-03-18 18:26:21",3.2,2009,3,18,f4a7319f-c0a8-0169-2a8c-eeea098b8142,1,0.0561377497352505,"review web site content and update site links to non-Eclipse.org content"
6,6,"2009-03-19 06:03:52",3.2,2009,3,19,f4a7ee52-c0a8-0169-2a8c-eeea05e6c588,0,0.99,"[regression] authentification fails with mod_auth_sspi or NTLM"
220,6,"2009-03-19 09:25:29",3.2,2009,3,19,f4a7ee52-c0a8-0169-2a8c-eeea05e6c588,0,0.0696561569282989,"[regression] authentification fails with mod_auth_sspi or NTLM"
6,220,"2009-03-19 10:04:44",3.2,2009,3,19,f4a7ee52-c0a8-0169-2a8c-eeea05e6c588,1,0.156532744178335,"[regression] authentification fails with mod_auth_sspi or NTLM"
118,118,"2009-03-19 11:59:42",3.2,2009,3,19,f4a7ece6-c0a8-0169-2a8c-eeeade738a8c,1,0.028390197066482,"wikitext-to-dita ant-task removes ""."" from dita file name"
374,374,"2009-03-19 12:42:11",3.2,2009,3,19,f4a7efa8-c0a8-0169-2a8c-eeea54de6851,0,0.99,"[api] implement TaskDataModel.getChangedOldAttributes()"
373,441,"2009-03-19 16:46:47",3.2,2009,3,19,f4a65c58-c0a8-0169-2a8c-eeeae0510c3d,0,0.00386556578422316,"new bug does not ask for target milestone"
373,378,"2009-03-19 16:46:47",3.2,2009,3,19,f4a65c58-c0a8-0169-2a8c-eeeae0510c3d,1,0.00578522155296432,"new bug does not ask for target milestone"
373,159,"2009-03-19 16:46:47",3.2,2009,3,19,f4a65c58-c0a8-0169-2a8c-eeeae0510c3d,1,0.00609834407112332,"new bug does not ask for target milestone"
220,220,"2009-03-20 05:59:25",3.2,2009,3,20,f4a7ee52-c0a8-0169-2a8c-eeea05e6c588,1,0.0281823766443238,"[regression] authentification fails with mod_auth_sspi or NTLM"
220,6,"2009-03-20 05:59:25",3.2,2009,3,20,f4a7ee52-c0a8-0169-2a8c-eeea05e6c588,1,0.0286385642799484,"[regression] authentification fails with mod_auth_sspi or NTLM"
118,118,"2009-03-20 11:59:10",3.2,2009,3,20,f49f80fe-c0a8-0169-2a8c-eeeae432cb0c,0,0.00181470621780264,"'Add Attachment' comment editor should support taskEditorExtension and content assist"
118,118,"2009-03-20 11:59:10",3.2,2009,3,20,f49f80fe-c0a8-0169-2a8c-eeeae432cb0c,1,0.0021231244986907,"'Add Attachment' comment editor should support taskEditorExtension and content assist"
118,399,"2009-03-20 11:59:10",3.2,2009,3,20,f49f80fe-c0a8-0169-2a8c-eeeae432cb0c,1,0.00212415541802472,"'Add Attachment' comment editor should support taskEditorExtension and content assist"
118,118,"2009-03-20 12:02:04",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,0,0.00244507806300147,"[editor] show description in preview mode for existing tasks with editable descriptions"
118,399,"2009-03-20 12:02:04",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00393645172381334,"[editor] show description in preview mode for existing tasks with editable descriptions"
118,450,"2009-03-20 12:02:04",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00396746586033541,"[editor] show description in preview mode for existing tasks with editable descriptions"
118,220,"2009-03-20 12:02:04",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00460425275902081,"[editor] show description in preview mode for existing tasks with editable descriptions"
118,118,"2009-03-20 12:02:04",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00462001848011088,"[editor] show description in preview mode for existing tasks with editable descriptions"
118,118,"2009-03-20 12:09:17",3.2,2009,3,20,f4a7f1cb-c0a8-0169-2a8c-eeea0a4b3f94,0,0.99,"support for nested markup blocks"
399,118,"2009-03-20 13:31:16",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,0,0.00244441463923503,"[editor] show description in preview mode for existing tasks with editable descriptions"
399,399,"2009-03-20 13:31:16",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00393368512376914,"[editor] show description in preview mode for existing tasks with editable descriptions"
399,450,"2009-03-20 13:31:16",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00396463339929767,"[editor] show description in preview mode for existing tasks with editable descriptions"
399,220,"2009-03-20 13:31:16",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00459982748037208,"[editor] show description in preview mode for existing tasks with editable descriptions"
399,118,"2009-03-20 13:31:16",3.2,2009,3,20,f4a3554a-c0a8-0169-2a8c-eeea0bb7bfbf,1,0.00461554763117682,"[editor] show description in preview mode for existing tasks with editable descriptions"
