native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
304,399,"2006-09-03 04:35:42",0.8,2006,9,3,f4870370-c0a8-0169-2a8c-eeeaaba047e7,0,0.00366365255463515,"make commit comment templates repository or project specific"
304,304,"2006-09-03 04:35:42",0.8,2006,9,3,f4870370-c0a8-0169-2a8c-eeeaaba047e7,1,0.00367628600722704,"make commit comment templates repository or project specific"
304,399,"2006-09-03 04:35:42",0.8,2006,9,3,f4870370-c0a8-0169-2a8c-eeeaaba047e7,1,0.00375525703082341,"make commit comment templates repository or project specific"
304,305,"2006-09-15 20:27:23",0.8,2006,9,15,f486dd85-c0a8-0169-2a8c-eeea2938c947,0,0.00208439992084104,"[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks"
304,143,"2006-09-15 20:27:23",0.8,2006,9,15,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00208626891497992,"[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks"
304,457,"2006-09-15 20:27:23",0.8,2006,9,15,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00219543498878591,"[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks"
304,304,"2006-09-15 20:27:23",0.8,2006,9,15,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00219726732216418,"[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks"
304,297,"2006-09-15 20:27:23",0.8,2006,9,15,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00250966091896237,"[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks"
304,143,"2006-09-15 21:00:33",0.8,2006,9,15,f486f15c-c0a8-0169-2a8c-eeeae446a93f,0,0.00249016616182374,"use trim bar to show currently active task"
304,143,"2006-09-18 11:14:51",0.8,2006,9,18,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,0,0.00191065581430242,"provide focus for the Breakpoints view"
304,304,"2006-09-18 11:14:51",0.8,2006,9,18,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,1,0.00191274798913173,"provide focus for the Breakpoints view"
304,143,"2006-09-18 11:14:51",0.8,2006,9,18,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,1,0.00191277655007795,"provide focus for the Breakpoints view"
304,271,"2006-09-18 11:14:51",0.8,2006,9,18,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,1,0.00229487837941011,"provide focus for the Breakpoints view"
304,457,"2006-09-18 11:14:51",0.8,2006,9,18,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,1,0.00548942103271413,"provide focus for the Breakpoints view"
