native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
399,399,"2008-06-25 00:09:51",3.1,2008,6,25,f49c119c-c0a8-0169-2a8c-eeeabbc232c2,0,0.99,"errors when restoring working sets"
399,304,"2008-06-25 00:36:01",3.1,2008,6,25,f49bf985-c0a8-0169-2a8c-eeeab82201ce,0,0.0427216533482082,"provide shortcut for submitting tasks"
399,143,"2008-06-25 00:36:01",3.1,2008,6,25,f49bf985-c0a8-0169-2a8c-eeeab82201ce,1,0.374184828279135,"provide shortcut for submitting tasks"
399,399,"2008-06-25 02:34:48",3.1,2008,6,25,f49c12e0-c0a8-0169-2a8c-eeea48f6345c,0,0.99,"attachment table allows single selection only"
399,216,"2008-06-25 14:40:46",3.1,2008,6,25,f49a31fb-c0a8-0169-2a8c-eeea8a5e37f7,0,0.00920382844696948,"[wikitext] Task repository should have a properties field where configuration settings can be made"
399,399,"2008-06-25 14:40:46",3.1,2008,6,25,f49a31fb-c0a8-0169-2a8c-eeea8a5e37f7,1,0.00926407671265753,"[wikitext] Task repository should have a properties field where configuration settings can be made"
399,216,"2008-06-25 14:40:46",3.1,2008,6,25,f49a31fb-c0a8-0169-2a8c-eeea8a5e37f7,1,0.00992534197435384,"[wikitext] Task repository should have a properties field where configuration settings can be made"
399,118,"2008-06-25 14:40:46",3.1,2008,6,25,f49a31fb-c0a8-0169-2a8c-eeea8a5e37f7,1,0.011506184137353,"[wikitext] Task repository should have a properties field where configuration settings can be made"
173,399,"2008-06-25 15:35:15",3.1,2008,6,25,f499fc03-c0a8-0169-2a8c-eeeaaf3484ec,0,0.00799479744750834,"fix XPlanner porting nits"
173,399,"2008-06-25 15:35:15",3.1,2008,6,25,f499fc03-c0a8-0169-2a8c-eeeaaf3484ec,1,0.00799662289259883,"fix XPlanner porting nits"
