"link","frequency"
"http://t.co/l4OUwnW2",10
"http://t.co/LAVm2lx6",4
"http://t.co/lB1rqDkW",2
"http://t.co/lCbyxKoL",1
"http://t.co/LdyYezNL",2
"http://t.co/lf7c9mxD",1
"http://t.co/Li5d2oH6",9
"http://t.co/ljB9VjXM",1
"http://t.co/lLCd1VvF",3
"http://t.co/LlYOUPGp",1
"http://t.co/lrZ3BiIG",1
"http://t.co/lxd1Olhh",1
"http://t.co/LXv286mk",1
"http://t.co/lzeqV90V",11
"http://t.co/m1pTyk5q",1
"http://t.co/M9jng1It",2
"http://t.co/MccZgmJm",1
"http://t.co/mgdcniND",1
"http://t.co/mhZlfDmp",1
"http://t.co/mOy3wT0R",1
"http://t.co/Mq9QEbdN",1
"http://t.co/mScOPLR9",1
"http://t.co/mussfEH7",1
"http://t.co/MXL82wGH",1
"http://t.co/MYruHdPR",4
"http://t.co/myZsCI6x",1
"http://t.co/mzpyy5sK",2
"http://t.co/n1INLjRP",1
"http://t.co/N1ldN7dz",1
"http://t.co/n2jBpMZT",1
"http://t.co/n4I8NoeD",1
"http://t.co/n6oJbZBq",7
"http://t.co/NC2kg0V0",8
"http://t.co/nExtjaOM",1
"http://t.co/ngfDSZ7G",1
"http://t.co/Npegf17W",1
"http://t.co/Ns70F3ZA",1
"http://t.co/nsNlhAa5",1
"http://t.co/NSOsbxK9",3
"http://t.co/NTbsZXr7",3
"http://t.co/O3TUZgHU",1
"http://t.co/o8Ch79Fy",1
"http://t.co/oAU585F0",1
"http://t.co/oBdLOhP1",7
"http://t.co/od1O6LXd",1
"http://t.co/OfX3uSgn",1
"http://t.co/OGHwKzpR",1
"http://t.co/ojTQNKJU",1
"http://t.co/OM54ndZU",1
"http://t.co/ONN9WzKp",4
"http://t.co/OsVH8J56",1
"http://t.co/oUkVv72K",1
"http://t.co/Ox4NR6XW",1
"http://t.co/OYOM6qPC",1
"http://t.co/oyXZ1Wcm",17
"http://t.co/oyYR0AJN",1
"http://t.co/p1775JhY",1
"http://t.co/pa57HSbI",3
"http://t.co/pAlG7BrE",1
"http://t.co/piM6yNMv",1
"http://t.co/Pn86at2J",1
"http://t.co/POa9RjSj",1
"http://t.co/PUbpnGy0",1
"http://t.co/puIpu2SI",2
"http://t.co/PX5OdxKV",1
"http://t.co/PZvfcs4P",1
"http://t.co/Q4sKoQx4",2
"http://t.co/Q7mLmPdu",1
"http://t.co/qG81gL0r",2
"http://t.co/qhA5L3fm",1
"http://t.co/qna2GEMi",2
"http://t.co/QnaKM3q6",1
"http://t.co/QQbpYEe9",1
"http://t.co/QZjL2WmY",1
"http://t.co/R2Rhqf8o",1
"http://t.co/r5QYCIWt",13
"http://t.co/R6EgMN2a",5
"http://t.co/reQl1MSN",1
"http://t.co/RGf2O6fj",1
"http://t.co/RhPvXcW4",2
"http://t.co/Ri4Bs28E",1
"http://t.co/RkFaDLtS",1
"http://t.co/rLdG4CLT",1
"http://t.co/RnV0FxHk",1
"http://t.co/RRILXO0W",4
"http://t.co/RScdi1LX",13
"http://t.co/RsGRYmOa",3
"http://t.co/s6BAa66m",7
"http://t.co/sA1rkldZ",1
"http://t.co/sb66ccqU",14
"http://t.co/sFbHPcOa",1
"http://t.co/SfLJWUhc",1
"http://t.co/sKWPqj00",7
"http://t.co/sLWxhqmM",1
"http://t.co/SOy12mTx",1
"http://t.co/SqjBMFcR",3
"http://t.co/SqpIB1Gd",1
"http://t.co/SQwC2jmv",1
"http://t.co/ssT8597Z",2
"http://t.co/strQhUN1",1
"http://t.co/SUaQnC2R",1
"http://t.co/sZ31n684",1
"http://t.co/T0sMx44V",1
"http://t.co/t2k7JLS9",1
"http://t.co/th5tyIcS",1
"http://t.co/tIJfHUkX",1
"http://t.co/tioUErVd",1
"http://t.co/TPKZo5ZV",1
"http://t.co/TS643n6t",1
"http://t.co/tSHgoJuh",1
"http://t.co/TT84XcOb",1
"http://t.co/tVDUUyBu",1
"http://t.co/TVp0UpFz",1
"http://t.co/TXRnD3FR",1
"http://t.co/TysyBtY3",1
"http://t.co/Tz9Y3uXI:",1
"http://t.co/u1YPQ5N8",3
"http://t.co/U53JDQVb",1
"http://t.co/UczvyVdF",2
"http://t.co/uFui5Nij",12
"http://t.co/ULwbv1LK",1
"http://t.co/UmjnMSC8",1
"http://t.co/Un8Pej8z",1
"http://t.co/urCpyv8q",1
"http://t.co/UVIqY1B9",1
"http://t.co/UzNnp3t6",1
"http://t.co/V0Gp3Sok",1
"http://t.co/V9HvjkDc",1
"http://t.co/VHxpAZHf",1
"http://t.co/vJKYHEaf",1
"http://t.co/VJZLHpjX",1
"http://t.co/vljp7oZM",1
"http://t.co/vlrJiUWS",1
"http://t.co/vMZxd419",1
"http://t.co/vn8Dx9NG",1
"http://t.co/vNjMNvaS",1
"http://t.co/Vox6635o",1
"http://t.co/VRUg3xlD",15
"http://t.co/vS2iTE1u",5
"http://t.co/VsxRmhwl",2
"http://t.co/VtxEkf8T",1
"http://t.co/W1LnIrwV",1
"http://t.co/W4OcDM2C",1
"http://t.co/W5hUQlxN",1
"http://t.co/wC6QJYxH",1
"http://t.co/wcvNSk18",1
"http://t.co/whjbi7kS",1
"http://t.co/woGKESnz",1
"http://t.co/woPFvlw1",1
"http://t.co/wSqLGeEv",10
"http://t.co/wxgPgOJ8",8
"http://t.co/XaZrHc8h",1
"http://t.co/XC2EhgOX",1
"http://t.co/XgREJKEx",3
"http://t.co/xjtGzHK6",3
"http://t.co/XMVaOyo6",1
"http://t.co/XUT24g3Y",1
"http://t.co/XwHmb7td",2
"http://t.co/xxDeYzAN",1
"http://t.co/XyEZ02gT",1
"http://t.co/xyn7i3xf",2
"http://t.co/y97WSqh5",1
"http://t.co/Y9kUkISk",1
"http://t.co/YahTxRc2",1
"http://t.co/yDKyEjRx",1
"http://t.co/YEKNFmDV",1
"http://t.co/Yi5ocQtD",5
"http://t.co/YjKwNtIE",4
"http://t.co/Ym8Cc9bn",13
"http://t.co/yMkUX8sO",1
"http://t.co/YoItOQUS",3
"http://t.co/yqLCLbbL",2
"http://t.co/yRJPqKcL",1
"http://t.co/yrujOVbx",1
"http://t.co/YSYayw3K",1
"http://t.co/YW4on0xq",1
"http://t.co/yzWO3zpm",1
"http://t.co/Z9b2oI42",2
"http://t.co/zd2Zsr1D",1
"http://t.co/ZoXIrrZX",1
"http://t.co/zQuDCdh7",1
"http://t.co/ZS05OJe5",5
"http://t.co/zUuMnYiT",1
