"mention","frequency"
"bwils74",1
"bwoboe1",1
"byelin",1
"byronnme",1
"byupolitics",3
"c_schwaber",1
"c4liberty",2
"ca4hermancain",2
"cain2012",2
"cainstaff",14
"calliopeco",1
"callmec0ach",1
"callmeder",1
"callmejen27",1
"candi151",1
"capehartj",7
"capehog",1
"capitolmuckrakr",1
"capreble",14
"caradox",1
"carlandrose",1
"carloslozadawp",1
"carmenlezeth",2
"carolinewren",1
"carribugbee",2
"carrienbcnews",2
"caseycontrarian",1
"catastrophenet",1
"catholicdems",12
"catnyugen",1
"catofp",26
"catofp)",4
"catoinstitute",1
"causeofliberty",4
"cbs",2
"cbsjancrawford",3
"cbsnews",61
"cbsnewshotsheet",5
"cbstopnews",1
"cdewayneharris",1
"cdnnow",2
"cdotezbrzy",1
"cfheather",5
"cgs_dc",2
"ch13fmarin",1
"chadbowie",1
"chairman_wow_",1
"changeversation",2
"chaostar13",1
"charlesbivona",12
"charlesmblow",5
"cheler0",2
"cherylduckworth",1
"cherylrofer",1
"chicanisima",2
"chickorie",1
"chicodelainky",4
"chillrelaxed",1
"chilltowntv",1
"chinhon",1
"chris_moody",1
"chrisalbon",3
"chrisargyris",5
"chrisastro",2
"chrisburlingame",1
"chrisc0ttingham",1
"chrisdonovannbc",1
"chrisgolden",1
"chrislhayes",1
"chrisobrooks",1
"chrispaulitzdc",1
"chrisposure",6
"chrissink",1
"christod__",1
"chuckdevore",13
"chuckiecorra's",1
"chucknicecomic",1
"chucktodd",18
"cirincione",2
"cityofthetown",1
"cjmcguinness",1
"cjsovereign",2
"claireberlinski",1
"clari1188",1
"clarknt67",13
"classclownkjl",3
"classylaurenb",3
"clatisc",1
"cliffschecter",14
"clintonlambeth",3
"cloudhumper",1
"cltomlinson",1
"cm_writer",1
"cmfcknw",1
"cnn",81
"cnn-huntsman",1
"cnn-romney",1
"cnn?",1
"cnnbrk",31
"cnndebate",7
"cnndirectousa",3
"cnnlive",8
"cnnpolitics",10
"coachdb18",2
"codeguard",1
"colbyhall",5
"collegepolitico",1
"collin_smith",1
"colonialdude",3
"combs_brandon",2
"comerville",1
"comfortablysmug",1
"commentary",3
"computerjay",2
"coneymedia",2
"conor64",44
"conormannix",2
"conorreid",12
"conservathink",1
"conservative_76",10
"conservativeind",20
"conservativevt",1
"constantinox",1
"conteach",3
"convertbond",1
"cooperjdub",1
"coregeous",1
"covertaffairs",1
"cprater",9
"cprater)",1
"craasch",2
"crabtreeme",1
"craig_crawford",1
"craigdaking",2
"craigfraiche",1
"craigsovereasy",1
"cranestation",1
"crenpolitics",1
"criticalthreats",2
"crowleyreport",1
"cruzynnitro",1
"csgraham",1
"cshelwood",1
"cspanwj",27
"csteven",4
"ct_loft",1
"cthawkman",1
"ctuckerprof",8
"cupcake1723",1
"curtiskj",1
"cute13",1
"cvaughn4ushouse",5
"cyn_cee",1
"cyndezu",34
"cyndibrillhart",1
"d_stockley",2
"dabitty",3
"daclamo",2
"daddy_san",3
"daftkurt",2
"dailybeerreview",1
"damicosthoughts",1
"dan_munz",2
"danamira",1
"danawink",1
"danbigras",1
"danbojangles",4
"dancitizen",1
"dandrezner",20
"daneeriggs",1
"danfosternro",3
"dangaffney",1
"dangainor",21
"dangerguerrero",1
"dangerroom",1
"danholler",1
"danicaps",1
"danielawetter",1
"danielwanke",1
"danielwestlake",1
"danifestmestiny",1
"danimalcrackers",1
"dankennedy_nu",8
"danobgyn",2
"danshootsblanks",1
"danswright",2
"darealphill",2
"daroff",10
"darren_foster",4
"darthnader",1
"dartmouthreview",1
"darylberg",1
"datotheiane",1
"datterhaus",1
"datwwt",1
"davemontero",3
"daverburgess",1
"daveweigel",60
"daveyho69",1
"david_feldman_",7
"david_gergen",9
"davidbadash",16
"davidbandler",1
"davidcarlson1",2
"davidcbratton",1
"davideblack",1
"davidfrum",14
"davidhains",1
"davidjandura",2
"davidjballard",1
"davidleopold",1
"davidlindores",5
"davidmdrucker",20
"davidwhester",2
"dawitget)",1
"dawnmwaters",3
"dbargen",13
"dbebermanmeth",1
"dbernstein",3
"dbernsteinwhat",1
"dcdebbie",14
"dcplod",5
"dcseth",2
"deanlogic",1
"dearcitizentv",2
"debbialmontaser",1
"debitking",3
"dedwardbeck",1
"deflationista",1
"delrayser",8
"democratmachine",23
"dennisdmz",1
"deppisch",2
"der_bluthund",1
"derekahunter",2
"deroo1da",6
"derusha",1
"desenchufame",1
"desifeminista",18
"desjarlaistn04",3
"despicablecoco",1
"deviatar",7
"devorahleah",1
"dglasscock",3
"dhenry",1
"dianavalerie",2
"dickdadamo",3
"dickmorristweet",228
"dickpolman1",2
"diggaduh",1
"diggerdoggg",1
"digiphile",1
"digirt",7
"dima_khatib",1
"dirigoblue",1
"dirtymartinigal",4
"disalmanac",1
"divebunny13",6
"dizz1e",1
"dizzanya",1
"djroze",5
"djsarahspin",6
"djspooky",1
"dloesch",26
"dmataconis",34
"dmatamala",4
"dmccabe",1
"dmcrawford",1
"dmikestuart",1
"dminor85",1
"dmitriyshapiro",2
"dmmckinney",1
"dndailypolitics",2
"docj5",1
"dogger55",6
"dolphinsrapeppl",3
"doncooleo",1
"donnabrazile",2
"donniedarker",2
"doriandavis",1
"dougbenson",38
"douglas_ernst",3
"douglascwalker",1
"dowd_timmerman",1
"dpaswaters",8
"dpletka",1
"dr_heiner",1
"drandybaldwin",1
"drawmark",2
"dreamact",4
"dreamccoy",1
"dreams_on_paper",1
"dredpiraterob",2
"drewginsburg",5
"drfarls",1
"drgoddess",25
"drgrist",77
"drjjoyner",2
"drjwalk",1
"drlearnalot",1
"drroro",1
"drseanforeman",1
"drsetitoff",3
"drucila",1
"drustru",1
"dstarwriter59",1
"dstefanski",1
"duanemaddy",4
"dubpool",2
"dunnemarogra",1
"dustincarmack",1
"dustinthewind19",1
"dw1776",1
"dwilliams459",2
"dwitzel",1
"dylansuher",1
"dywanw",1
"e_harp_",2
"eddie1871",1
"edespinoza",3
"edgeofanarchy38",1
"edhartel",2
"edhenrytv",1
"editmedavid",2
"edschultz",1
"eduardosuarez",3
"educatedsoldier",1
"edwallick",2
"efrain_nieves",1
"efuzz",1
"egocrata",1
"ehabz",11
"eipolitics",1
"eklayre",2
"el_wi11",2
"elbrigaciagar",2
"eleanorwhitel",1
"electnext",1
"eleventhduke",2
"eliclifton",5
"elilake",3
"elise_foley",1
"elise_jordan",2
"eliselabottcnn",14
"ellekay_",2
"ellenbarkin",4
"ellencarmichael",2
"ellenjaneen",1
"ellieeugenia",6
"ellyblue",1
"elmundoamerica",1
"elonjames",1
"emadair225",1
"emilcdc",1
"emiliemareus",5
"emilylhauser",10
"emmalee_mattern",1
"emokidsloveme",1
"emorehart",3
"encienda",1
"endeavoringe",2
"energycitizens",7
"enrique_acevedo",5
"eric_shrugged",1
"ericessagof",1
"ericfehrn",1
"ericjodom",6
"erickbrockway",2
"ericplatham",2
"erikajohnsen",1
"erikkain",3
"erin_brown",10
"erinburnett",1
"erinhaust",5
"erinum04",1
"erripman",1
"erwingv",1
"erzy",2
"esfaceblack",1
"ethanklapper",4
"ethartley",1
"eugenialeigh",8
"evaottesmith",1
"evilcyber",1
"evolution_child",2
"ewerickson",3
"ewross",1
"exaltedroots",1
"excitinggrowth",2
"exjon",12
"eyeonpolitics",2
"f_matos007",1
"fabsintes",2
"fabuloustahoe",4
"faceman68",1
"fairtaxnancy",2
"faithcnn",3
"fakedansavage",17
"fantasyprez",2
"fargar",3
"fashionwhip",2
"fatherz",1
"fbess",1
"fbihop",8
"fbmadman1",6
"fdas7",2
"feardept",2
"feldymaizenblue",1
"felipeestefan",1
"felixrgarcia",1
"ffolder",1
"fgonzalez1978",1
"filmladd",32
"fingersmalloy",7
"firstladyofbeer",1
"fivethirtyeight",3
"fl4cain",1
"flashtofinish",3
"flavadave10",7
"fleonyleon",1
"flfusionista",1
"floridagordon",1
"floridajayhawk",7
"floridajewel",1
"fmanjoo",1
"folder_rock",1
"followjenjones",2
"foreignpolicy4u",1
"forwardnhonest",1
"foxchick242",3
"foxienews",16
"foxnews",1
"franklowery",1
"frankthedoorman",2
"frawgz",1
"free_radical1",2
"freebald",1
"freeballin_",1
"freedom4usa",1
"freelibertyblog",1
"freerangek",1
"frijolita",1
"fritzhollings",1
"frontlinepbs",1
"frwritings",1
"fulhamnation",1
"funcoolchickie",2
"furiouscstyles",2
"fvdlfvdl",3
"g_lovesky",1
"g_sus12",3
"g3vol",4
"gabesmom",3
"galtsgirl",14
"ganzimal",1
