"mention","frequency"
"mickiisacainiac",4
"migueltorresmma",1
"mike_br",3
"mike_zawadzki",1
"mikeallen",6
"mikebloomberg",1
"mikeehavens",1
"mikerogerstx",8
"miketyson",1
"milehimama",1
"milesmaker",4
"mimoct",1
"misharn",3
"miss_cody",1
"miss_ctina",2
"misslizaface",1
"mitchamestx",1
"mitguy01",1
"mittromney",119
"mittromney!",1
"mittromney!!",1
"mittromney?",1
"mittromney..",1
"mitts_mates",1
"miz_eisenhower",1
"mizzou...",1
"mj_meek",2
"mjrosenberg",3
"mkbrw",2
"mkclark12",1
"mlaroche19",2
"mlb_pr",1
"mleewelch",1
"mlobikis1",1
"mlsif",2
"mmcnarney",16
"mnemosynekurai",1
"mneuberger",6
"mnoble5)",1
"moderngentlemn",2
"moelane",4
"moforperry",6
"moizzil",2
"mojavemusing",1
"mojoe",1
"mokoussa",2
"mollycrabapple",37
"mollyesque",1
"mollyknefel",1
"mombizzz",2
"monica_vv",2
"monicacrowley",1
"monkeyofdarknes",1
"mooseofreason",1
"moralesisa",3
"moreandagain",2
"morgansher",2
"moshekasher",2
"mountainmango",1
"movkent",1
"mozgovaya",1
"mpthomas1",1
"mr_mcqwerty",2
"mr_ornelas",1
"mr_weed_stash",1
"mratlanta",1
"mrbabypants",2
"mrbekele",1
"mrikecarter",1
"mrjackcoleman",2
"mrk_krwn",1
"mrnickdyer",1
"mrobveeus",1
"mrsno17",1
"mrworthington",1
"ms_afolayan",1
"mschica12",3
"msdiva67",2
"msnbc",3
"mtgrove",1
"mtracey",7
"mukhtaryare",1
"mulliganstew63",7
"murnpost",2
"murphymike",2
"musashidesigns",1
"mvo_kaibreezy",1
"mwelsh1984",1
"mwilh",1
"myblackcoffee_",1
"mychalsmith",1
"mymanhenri",1
"mypolishface",1
"mysa",1
"mzagorski",1
"mzapoetry",1
"mzkoddi",1
"mzmz037",1
"nadiaencourages",3
"naiman",2
"nakedwolipstick",1
"nancygilesnyc",3
"naomi_show",1
"nas",1
"nasdaqistan",1
"natan613",1
"nationaljournal",1
"nationallampoon",2
"natjournalbaron",10
"natlsecuritycnn",2
"natsecheather",2
"natsecnet",1
"nawaat",1
"ndb29401",1
"ndcollier",1
"ndhapple",2
"nealcarruth",7
"neerajka",1
"neiltyson",1
"neitherparty",5
"nejinnejin",1
"netconservative",1
"newcentrist",3
"newkingofmedia",1
"newsninja2012",5
"newt!",1
"newt2012hq",12
"newtbuster",2
"newtgingrich",71
"newtgingrich's",2
"newworldradical",16
"ngongang",1
"nhjennifer",1
"nick_klaus",1
"nick_ramsey",1
"nickcoleman",1
"nickconfessore",1
"nickidems",1
"nickkristof",1
"nickmarschel",1
"nickschweitzer",1
"nickyoussef",1
"niclott",1
"nidakhanny",1
"ninatypewriter",5
"nishweiseth",2
"nit2am",6
"niteowl223",1
"nlikeb",1
"nmaurice",1
"nnomad_",3
"noahfinneburgh",1
"noahjackson93",1
"nolesfan2011",1
"noreensnasir",1
"normk58",1
"norsu2",2
"notbillwalton",2
"notbodhisattva",2
"notjessewalker",17
"notoriouslybold",1
"notunderdog",1
"novatess",2
"nowever",2
"nprpolitics",1
"nrkenny",1
"nshenai",1
"nupe117",1
"nverghese",2
"ny_dano",1
"nyformitt",1
"nykellen",3
"nypostopinion",9
"nytimes",1
"nytjim",1
"occupy_police",7
"occupyairforce",7
"occupyarmy",6
"occupydcinfo",3
"occupyitall",1
"occupymarines",7
"occupymarines3",7
"occupyoslo",1
"occupypsyop",7
"occupyveterans",7
"ofa_ia",1
"offalhaiku",1
"officialkevind",3
"officialozzy",1
"oh_nah_nah",1
"ohconservatism",1
"ohmanducky",6
"ohsnapjbsmoove",1
"olivercooper",3
"oliverdarcy",2
"ologies",5
"omarbaddar",4
"one_vote",3
"onecampaign",2
"onelegsandpiper",1
"onesummitsquare",2
"onewisconsinnow",1
"onfaith",1
"ongoliard",1
"opensecretsdc",2
"optimisal",1
"orangeoscar",1
"originalspin",2
"osb",1
"outfrontcnn",1
"outofnh",1
"outspokeninlife",1
"overseerlewis",1
"owillis",13
"owslibrary",1
"oxfordgirl",16
"oxfordlimits23",2
"p0tus",39
"paeter_michael",7
"palafo",5
"paltalkpolitics",1
"pamspaulding",3
"pandagon",8
"paologiuseppe13",2
"pappou",1
"pappymaydx",1
"paradeofchaos9",2
"parniag",2
"partesanjournal",1
"particle_bored",2
"partofaplan",4
"pat_mc_mahon",1
"patr2012",1
"patrickcarney",2
"patrickhdonges",2
"patrickhenry_",1
"patrickruffini",1
"patriot2usa",1
"patriotcl",2
"patrioticlogic",2
"pattistanger",1
"pattysmattyvt",1
"paula_dockery",1
"paulbegala",113
"paulfidalgo",8
"paulitics2012",1
"paulitifact",5
"paulvseale",2
"paulwaldman1",2
"paulwolfowitz",9
"pbear36",2
"pbump)",1
"pcam",7
"pcgamer92",1
"pdxiiv",5
"peaceadrlawyer",1
"peesonwheels",1
"pennyred",44
"perry",1
"perrystudents",7
"perrytruthteam",17
"perrytwibe",2
"petedominick",1
"peter_rubin!",1
"peterdaou",19
"peterhambycnn",3
"petersuderman",1
"petitedanseuse1",1
"petridishes",4
"pheffli87",1
"phish",1
"piersmorgan",222
"pjcrowley",12
"plutoniumpage",4
"pnp07",3
"pnthrgrlgail",1
"policygal",1
"polipaca",1
"politexan",6
"politicallogic",2
"politicalseason",1
"politicalticker",4
"politico",1
"politico2012",1
"politicolnews",6
"politicoroger",14
"politicsgop",2
"politicsofamy",3
"politicsoffear",2
"politifact",9
"politisie",1
"politisite",2
"politixgal",4
"polojonesie",1
"populista",2
"popvox",1
"porsche4848",3
"positiveenerg",1
"postpolitics",27
"pourmecoffee",2
"pragatid",1
"praying4cain",1
"predrax",2
"pres_bartlet",38
"president",1
"president_bartlet",1
"presidentadams",5
"presidentsantos",2
"prestoncnn",1
"princessalycia7",1
"profblmkelley",3
"profg",2
"profit4eva",1
"progressflorida",5
"progressivepam",4
"proinfrastruct",1
"proudmom111",1
"ptodd62",1
"publiusdb",4
"pugpoppa",4
"punditmom",7
"punditmon",1
"punditreview",3
"purcellforga",1
"purplehullpea",1
"pvenable",4
"pwire",1
"q4life",1
"qaesar1",1
"qbkilla",1
"qctimes",1
"qdoneit",1
"qubadjt",6
"queerjohnpa",1
"r_nofsinger",3
"r3volutionmarch",16
"rachelhoff814",7
"rachelsemmel",1
"rafaelmarquez",1
"rafaelmorataya2",1
"rafikam",2
"rafiqtheemcee",3
"rahulrana_",1
"raisinghopefox",1
"ralphremington",2
"ralstonflash",2
"ramcnn",1
"rameshponnuru",4
"ramon_hyfr",2
"randibuckley",1
"randomvariable",1
"rantbully",1
"rationalists",95
"ravinepal",1
"rawanws",1
"raymedeirosshow",1
"raypride",3
"rbg4lyfe",2
"rbreich",1
"rclarkecooper",10
"rcooper1014",1
"rdevro",13
"rdsanchezjr",3
"reagangomez",1
"real_omar_e",1
"realbrother0003",1
"realbuckyb",4
"realityreport",4
"realjoned",1
"reasonatician",1
"reconchesty",7
"redrum88",1
"redrummy",1
"redscarebot",1
"reenit",1
"reformedbroker",12
"remittancegirl",2
"remroum",5
"reneeprudhomme",1
"renevrivero",1
"renewoureconomy",4
"repetediamond",1
"repjackkimble",11
"repronpaul",15
"repronpaul!",1
"repronpaul!!!",1
"repthoughts",1
"republicanrocks",6
"revpac",41
"rexparker",3
"reyjrar",2
"rhondabentz",4
"rhondako",1
"richbranding",1
"richlowry",3
"rick_corbett",2
"rickklein",13
"rickperry",17
"rickperry??",1
"rickperryfacts",11
"ricksantorum",33
"ricksantorum?",3
"ricksantorum's",2
"ricksantorumusa",1
"rictracee",2
"rightklik",5
"rightwingjock",1
"rightwordwriter",1
"rigo_",4
"rini6",1
"ritalynman",2
"rjgrace",3
"rjpulaski",1
"rkgill",1
"rkref",18
"rkrishnakumar",7
"rmmcpherson",1
"ro_camarena",1
"robdiesel123",1
"robertbluey",4
"robertcostanro",2
"robgeorge",1
"robhemz",1
"robinfaymassie",2
"robkardashian",1
"robsmith1776",2
"roddmartin",28
"rodney_cbsnj",1
"roeberg",1
"rolandsmartin",220
"romney",1
"romneygirl60",1
"ron",1
"rondmc",1
"ronishortcakes",1
"ronmeyerjr",2
"ronnehring",24
"ronpau",1
"ronpaul",208
"ronpaul_2012",2
"ronpaul?",2
"ronpaul..",1
"ronpaul..the",1
"ronpaul's",2
"ronpaulblogpaul",14
"ronpaulforums",3
"ronpaulftw",1
"ronpaulnh2012",2
"ronpaulsfriend",5
"ronpaultodaycom",1
"rorycooper",1
"rosalindakilmer",2
"rowenawilding",1
"rozzario10",1
"rp2012chick",1
"rpaultshirtday",10
"rsh327",1
"rt_america",1
"ruiefe",6
"rumpfshaker",14
"runedart",3
"runsweetlew",1
"russ_jack",1
"rustint",1
"rweingarten",1
"ryan_pfefferoni",1
"ryangop",1
"ryangrim",3
"ryanhenesey",1
"ryanjgill",1
"ryanlizza",5
"ryanpduffy",1
"rydelacruz",1
"sachaqs",1
"sainiz",1
"salamalomaishi",2
"salimzymet",2
"sallyeastman1",2
"sambain",4
"sammiesmiles8",3
"samsteinhp",1
"samthomas86",1
"samuelmoore",2
"samvalley",6
"sangyeh",7
"sanhotree",1
"sanuzis",3
"saracjohnsonga",3
"sarah_sv",1
"sarahb_cbsnj",1
"sarahhuckabee",1
"sarahlaughed",1
"sarahpalinusa",4
"sarahqarmitt",1
"sarajbenincasa",11
"sarajust",1
"sauceboss_rob",1
"saveon1017",4
"sayarushi",1
"sayfiereview",4
"sb_yourleader",1
"scarletteacher",2
"scott_nicholson",2
"scottf929",1
"scottforflorida",1
"scotttimcke",1
"scottwgraves",2
"seanagnew",1
"seandiego25",3
"seanhackbarth",5
"seanincali",1
"seanpadilla",1
"seatown",1
"seattlesoundguy",1
"secretagentgrrl",1
"sedaye_iran",1
"seectweet",2
"senoritapacheco",1
"seqsi",2
"sethamandel",5
"sethduerr",1
"sethfarbman",1
"sethmeyers21",1
"sethmils",2
"sethp23",1
"sexypreacher58",1
"sexythinker",3
"sfconnected",1
"sfpelosi",7
"sgcatalyst",6
"shabadel",2
"shaggybull",1
"shahpak78",1
"shairailee",1
"shanabananasc",2
"shandalwilson",2
"shaneinthemia",1
"shanetorres1000",1
"shannityshair",2
"shaq",1
"shaunareporter",1
"shaunking",1
"shawnjdouglas",1
"shawnpwilliams",2
"shawnyoung292",2
"shearm",3
"sheenfeighteen",1
"sheengul",1
"shelbsr",1
"shepherdcnn",1
"shewgur",1
"shoq",7
"shortformblog",2
"shufypongnon",1
"siddamayne",1
"sierrawallman",19
"silveracer44",8
"simon__peter",2
"simonlafrance",1
"sjh2222",1
"skatealex2",1
"skevy",1
"skigarmisch",3
"skimanim",3
"skipterrio",1
"skooks",1
"skrspooky",1
"skunkwkrz",6
"sky_bluez",2
"slackadjuster",1
"slate",1
"slaughteram",28
"slaughteram's",1
"slennonharris",1
"slgooch",2
"smalltalkwitht",18
"smartazz6",1
"smboylepolitics",1
"smidget_dee",3
"smitty_one_each",8
"smrtmnky",1
"snarkandboobs",2
"snarkyseverus",1
"snoopalupe",1
"sohali2012",1
"solaywellness",1
"someloudcheese",1
"somethingfishie",1
"son_loves_crows",4
"soniafaleiro",1
"sonjatejada",3
"soopermexican",15
"sorendayton",1
"sosoruco",1
"southboundcat",3
"southernavenger",42
"southerntalker",2
"spaceboyrox",1
"spayshence",1
"speechboy71",3
"speilsonwheels",1
"spelmanpaul",1
"spendguru",1
"spielzonwheels",5
"spostoak",1
"spsenski",5
"spudlovr",1
"spytap",1
"srholbrook",1
"sseham",1
"stableford",1
"staceydisterhof",1
"stackiii",2
"standwithaz",1
"stars5steve",1
"statedept",1
"steele_michael",26
"stefanjbecket",3
"steffy7680",2
"stephen_taylor",3
"stephenshelton",1
"stevebarnesfl",2
"stevebirnspeaks",2
"steveisasailor",2
"stevejazz",1
"steveking_",1
"stevelutes",1
"stevenertelt",3
"stevenlwalker",3
"stevens_mitch",1
"stevensantos",3
"stevenstiefel",2
"steviewatson",1
"sticka",1
"stillblazingtho",37
"stl4huntsman",1
"stocksage1",1
"stonekettle",1
"stpaulrevere",1
"streeterryan",1
"studentactivism",30
"stujames",2
"stxherry",2
"stylishgurl",2
"sullydish",50
"summerbond007",1
"summernasser",4
"sunfoundation",13
"sunshinect",1
"superman6869",1
"supermanhotmale",16
"surfcitysocal",1
"surlyamy",1
"susanecloud",9
"suzikel6",1
"suzywelch",2
"swalchek",5
"sweet_sherry601",1
"sweetxoxrevenge",1
"swindellium",2
"swish",2
"t_christe",1
"tabathasouthey",3
"taboo1099",1
"tabyyyg",2
"tahirimran",1
"takebackpride",1
"talkmaster",41
"tallglassofh20",1
"tarstarkasnet",1
"taylormarsh",1
"taylorswift13",1
"tchadquarterly",1
"tcot",4
"tdivicenzo",2
"teambachmann",17
"teambachmann?",1
"teambarackobama",2
"teamrickperry",25
"teamromney",4
"teapartymd",1
"teapartynation",9
"techweenie",1
"tecpactl",1
"teewill06",1
"telestialstate",1
"tempebacon",1
"tenzinpelkyi",1
"teresakopec",6
"terichristoph",2
"termlimtcongres",3
"terri_georgia",1
"terry2790",1
"terrymoran",41
"tesswaggoner",2
"texanindiana",2
"texas_hellcat",1
"texasgrizzlette",6
"texastribune",1
"texgov",1
"texor7140",2
"tftjennifer",1
"tgiovanetti",16
"thadcollins",2
"thatchrisgore",4
"thatchristychic",4
"the_brent_wadas",1
"the_moron",1
"the_woch_man",1
"thealyonashow",1
"theanchoress",1
"theangelicaw",2
"theboanderson",1
"thebookslave",1
"thebrizz",3
"thecajunboy",1
"thecaucus",12
"thechurl",1
"thedarklady",2
"thedaveross",1
"thedcvince",3
"thedemocrats",7
"thedudeabides",1
"theellenshow",1
"thefatlawyer",1
"thefix",271
"thefreshbrew",4
"thegarance",5
"thehermancain",175
"thehermancain-",2
"thehermancain!",2
"thehermancain!!!",1
"thehermancain?",3
"thehermancain..do",1
"thehermancain's",1
"thehermancainsays",1
"thehermancaln",2
"thehill",1
"theindecider",6
"thelastdomino",2
"theleftistrebel",2
"themadamemeow",1
"themba",1
"themiinz",3
"themoornextdoor",11
"themumbi",1
"thenewdeal",17
"theodore_may",2
"theodorefisher",1
"theoldoakinfo",4
"theonlyadult",8
"thepeoplesth",2
"thepinkorag",1
"thepluckycharms",1
"theprospect",5
"thequoteminer",1
"therealfaketim",1
"therealkylecole",2
"therealmactos",2
"therealromney",1
"therealsuzn",1
"thereidreport",20
"therickwilson",8
"therightduff",8
"therock!",1
"thescepter",1
"thesecondcity",4
"thesharktank1",1
"theshex",1
"thestevedunn",1
"theteaparty_net",29
"thetriviajockey",2
"thevermonthick",1
"thewritingthing",1
"thinkincolornow",1
"thinkprogress",6
"thinktankedwapo",2
"thirdwaynatsec",1
"thisbrokenwheel",3
"thisfeedsme",1
"thtdudeboo",1
"thursdayband",1
"thwphipps",1
"tigerlillyk",1
"timalbrechtia",8
"timothy_stanley",1
"timthesocialist",1
"tinadupuy",4
"tinah2751",1
"tinakorbe",5
"tinkermellie",1
"tinklebott",2
"tj4757",1
"tjomac",2
"tkinder",6
"tlatela",1
"tlinder84",1
"tmims50",1
"tnforcain",1
"tnr",4
"toadonawire",5
"tobincommentary",7
"tobymarie",1
"todaysbullshit",1
"toddbarry",9
"toddbarry's",1
"todddejournett",1
"toddeherman",1
"toddstarnes",12
"toddthomson12",1
"tom1247",4
"tommymiles",1
"tomreadmond",1
"tonybalogna",1
"tonyromm",5
"toothfairy2b",1
"topcat_tc",1
"tori_lennox",7
"torreyvogel",1
"tpcarney",1
"tpgee",1
"tpm",3
"tppatriots",16
"tracylatz",2
"travis_burton",1
"travisbeacham",2
"trentonlyle",1
"trevor_pitt",1
"tricianc1",13
"trini87",1
"trinity6215",3
"tristanberry",1
"trmircat",3
"trowaman",1
"trscoop",1
"trueblueliberal",5
"truluv4liberty",1
"trumpshair",1
"truperformance",2
"tslatts10",1
"tswan313",1
"tuckertown",5
"tusk81",7
"twedt2t",1
"tweetjeanster",1
"twitter",2
"twolf10",1
"txright",1
"txsleuth",1
"txvoodoo",18
"tythagreat",1
"u__niq",1
"uani",7
"ubathediplomat",1
"umairh",14
"umalion",1
"umarsattar",3
"uncletacoman",2
"underaungnome",3
"understandblue",1
"unforgiven344",1
"unfurnished",1
"unitedstates",1
"univision33phx",1
"univisionnews",11
"unknowablewoman",2
"unstableisotope",3
"uofagop",1
"uojim",6
"usatopinion",3
"usernamenuse",4
"uspassenger",3
"usvoteout",1
"v1ct0rcr0cc0",1
"valuesandcap",1
"vamannyfresh",2
"vambaillon",1
"vanesmith777",2
"vasilaki",1
"vbraman",1
"venzkec",4
"veribatim",1
"vestitobene",1
"vinabean",1
"visionaryck",2
"vivaanonymous",1
"vivianipadilla",1
"vladimirrs",1
"vmrdacosta",2
"vomitweek",2
"votewander",1
"vpace",1
"wafflefinger",1
"walkofshameband",3
"warnerjennifer",1
"warrenjustin",1
"washingtonpost",47
"watts_bunker",2
"wayneaschneider",4
"wayneaschneider.securing",1
"wealthnews",1
"weelaura",3
"weiss_sam",5
"weiye0_0",1
"wesleylowery",1
"westcoaschops",1
"westwingreport",1
"wethepeople2k10",1
"wftright",5
"whaleyad",1
"whateversusan",1
"wheelieboy",1
"whirrrledpeas",1
"whitehouse",1
"whitehouse2012",2
"whoiswillo",9
"whorecuddler",1
"whytuesday",2
"wi4perry",2
"will_bunch",2
"willisms",30
"willoremus",1
"wilmariemontijo",1
"wilnervision",1
"wilycyotea",1
"winncolumn",1
"wolf",1
"wolfblitzer",2
"wolfblitzer's",1
"wolfblitzercnn",30
"wolfblitzercnn#cnndebate",1
"wolfnw",1
"wombat1974",2
"women4huntsman",5
"wontoothreefore",1
"worldvisionnews",1
"wsjliz",1
"wyapril",1
"xamiramalik",2
"xoxobutterfield",1
"yahyahenry",7
"yajagoff",1
"yaliberty",2
"yankeemeginphl",2
"yannickfury",1
"yasirtineh",4
"yeahitsabe",3
"yeahok",1
"yoshuadavis",15
"youngdiplomat",1
"youranonnews",1
"youtube",2
"ystudentreview",1
"zachlamb",2
"zachsmind",2
"zachstringer",1
"zackbeauchamp",3
"zacklmao",1
"zacmoffatt",2
"zainverjeecnn",1
"zedshaw",1
"zennie62",1
"zephyrk9",2
"zerlinamaxwell",1
"zombieriot",1
"zoocritter",1
"zrjaved",1
