"tweetscreenamecounts","Freq"
"alexdmartinez",1
"alexengquist",1
"alexheuer",1
"alexjon",11
"alexkauff",4
"alexmakesdrinks",1
"alexrharrington",15
"alexstevens",1
"alexwagner",1
"alfredoeortega",1
"aliamjadrizvi",1
"aliasvaughn",1
"alicetweet",1
"alicewonderred",1
"aliciabelvini",1
"aliens8mykat",1
"aliharajli20",3
"alimteule",2
"alimulaabas",4
"alinbcnews",1
"alionamongsheep",2
"aliontheair",2
"alisoncnyc",1
"alisonforns",1
"aliyasalahuddin",1
"aliza_alyy",2
"allaboutrace",4
"allabouttalha",3
"allahpundit",1
"allanbourdius",1
"allanbrauer",6
"allanjacksonusa",1
"allannorton8901",13
"allenfox",1
"allenimagery",2
"alleyezonash",1
"allie_hagan",1
"alliegdc",4
"allielee5",1
"allisongrh",2
"allthewaylive85",1
"allyallyally10",2
"allycat1186",1
"almack98",1
"almacy",2
"aloha_analytics",1
"alohadevil",1
"alotofnothing",1
"alove522",2
"alpha1906",11
"alpinnix",5
"althusiast",2
"altoidamadeus",1
"altondrew",2
"alucidreality",2
"aluers90",3
"alvinsmom",4
"alwaysonoffense",1
"alycechan",1
"alynnlao",2
"alysiapalm",2
"alyssakelly22",1
"amadii",5
"amaizieng",1
"amandahuff",1
"amandajr25",1
"amandajsterling",1
"amandarants",2
"amandlabear",2
"amanierin",1
"amannameddaniel",1
"amarchugg",1
"amarilyst",1
"amarquis32",3
"amasays",1
"ambassadorjawad",1
"ambejo",1
"amber_saige",1
"ambitiousbarner",1
"ameenarasheed",1
"ameliasalvaggio",1
"ameliashowalter",1
"america4ward",8
"americaisconsrv",3
"americana_lady",2
"americaneedsmr",8
"americanglob",4
"americanheirs",5
"americanspringg",5
"americantruthe",1
"americanupended",1
"americas_forum",2
"americasmess",3
"americasright",3
"amerijeeprang2",3
"amerikajayne",1
"amerimuslima",2
"amie_bashir",3
"amirakale1908",2
"amitsachdeva",5
"amiwoods",1
"ammaarahk",7
"amolkold",1
"amondal13",1
"amosposner",1
"amotion1",1
"ampofoboadi",2
"amroas",1
"amshiraah",1
"amull91",1
"amy_fallas",2
"amy_vrwc",2
"amyabe",2
"amyalyce",2
"amydobrzynski",1
"amyegardner",1
"amyengland1",2
"amykoehler",1
"amykremer",2
"amympayne",3
"amyngilbert",4
"amyredob",2
"anaheimdemocrat",1
"analogmeat",1
"anamariecox",3
"anarevolution",2
"anasmrazzaq",1
"anatitus",1
"anavujinovic",2
"anaychi",1
"ancientpoet",2
"ancientsongs",1
"andbrent",1
"andh0w",1
"andishehnouraee",5
"andoneforblog",2
"andreag114",9
"andreahayreport",1
"andrealessi",1
"andreamarinelli",1
"andresdavid",4
"andrew_s_martin",1
"andrew_w88",3
"andrewbingham7",1
"andrewbreibart",2
"andrewchesley",2
"andrewdaar",1
"andrewhclark",2
"andrewheiss",1
"andrewinaustin",1
"andrewkingmusic",1
"andrewlehmann",2
"andrewmcass",4
"andrewmcintyre",4
"andrewmeggison",1
"andrewmswift",2
"andrewmuhl",1
"andrewneylon",1
"andrewnhong",1
"andrewrcamp",2
"andrewwparks",1
"andrewzucker",2
"andy_sims",4
"andy42878",1
"andy85719",1
"andyakin",1
"andybud_o",3
"andydvnn",1
"andyhartleyshow",6
"andyhubba",1
"andylancaster",3
"andymaculous",2
"andymoteach1",1
"andyrutledge",1
"andywildman",3
"andyzoric",2
"anevillemorgan",2
"ange_marie",4
"angel_mendozaaa",1
"angela_deane",1
"angela_rye",2
"angelac563",1
"angelete71",1
"angelmortonpix",4
"angelrome",1
"angry_traveler",1
"angrynidaho",1
"anguscarruthers",3
"aniawall",1
"anikanonirose",1
"anildash",4
"animalfriend1",3
"animefool",1
"anish_mehta",2
"anjilfase",1
"ann4america",1
"annacathrynn",1
"annafifield",4
"annas227",1
"annasekulow",2
"annecronin",4
"anneka31",1
"annekeegreen",4
"annemai",1
"annemakovec",1
"annepenketh",4
"annerendeiro",2
"annfield1",2
"annie_frey",2
"annie_m4",1
"annie_woodard",6
"annieclairebo",4
"anniehenson",1
"annkelly411",1
"annmariebrok",1
"annumoyasin",1
"annylocura87",2
"anon_rabbit",2
"anonhooker",7
"anonymissbadger",1
"anonymouscowar4",5
"anonymousknife",2
"anotherday1",2
"anozimmer",3
"ansarim",6
"antderosa",4
"antheabutler",7
"anthony_kunkle",1
"anthonybialy",1
"anthonyg296",2
"anthonynbcnews",4
"anthonyrenaud",2
"anthropocon",1
"anticdays",1
"antiochjohnscrk",5
"antiwarcom",1
"antloewenstein",1
"antman8o8",1
"antoniobuehler",5
"antwan4detroit",1
"anvelica",2
"anxiousarab",1
"anyaarisohn",5
"anyweapon",1
"aoi_laughingman",1
"apathoni",1
"apbblue",7
"apblake",1
"apcoelho",1
"aplusdplusb",1
"apolishgirl",1
"apolloalexande1",1
"appeldan",1
"appleguyios",1
"appraso",1
"aprilmcleod",1
"aprilo13",1
"apryor",1
"arab_fury",2
"arabvoicesspeak",1
"arango_handle",1
"arbrown5",1
"archaic_soul",2
"archsquare",1
"arcology",1
"arcrossman",2
"arcticfox2012",2
"areitz",1
"aremzie",1
"arendabdoory",3
"areynoldsbell",1
"argos14",1
"argosxiii",1
"argylefreak",1
"ariannasimpson",1
"arielnavarrete1",1
"ariraq",13
"aristotlejulep",1
"arizonascge",3
