"tweetscreenamecounts","Freq"
"_veritas",1
"_vintagebeau_",1
"_vivalamonster",1
"_vqueentero",1
"_w0rldfam0us_",1
"_w0rthl3ss_",1
"_weeflo_",1
"_weighless",1
"_wordpulp",1
"_worthlessme_",1
"_wowidk",1
"_xaskmymoney",1
"_yacqubloso",2
"_youngdredd",1
"_youroneandonly",1
"_zipsi_",1
"_zomg",1
"<a href=""http://bbebooksthailand.com"">gof's bb ebooks</a>",1
"<a href=""http://www.tweetdeck.com"">tweetdeck</a>",1
"007_debby",1
"007chez",1
"0228nim",1
"03bellamami",1
"03oe",1
"09lisa18",1
"0brooke0taylor",1
"0caloriies",1
"0id",7
"0k_computer",1
"0mfgitsamy",1
"0th3rside",1
"0uca",1
"0xsegfault",1
"10101000101",1
"1013thebounce",3
"1059yuki",1
"10edgeyes",1
"10secondrule",1
"10srp",1
"11_thatscorpio",1
"111wlvrn111",1
"11alivenews",1
"121619",1
"1217grey",1
"123sundee",1
"12hd_switchback",1
"12mass",1
"12stepgolf",1
"13_chops",1
"139_bpm_wtdub",1
"13karin72",1
"13marina22",1
"13quotations",2
"140killas",1
"15_ollie",1
"16_becks",1
"16andoverweight",1
"1776x2_com",1
"1791arms",1
"180099native",1
"1861_again",1
"18millionrising",1
"1969croll",1
"1980tlnelson",1
"19billw76",1
"1bbkraus",1
"1bigranch",1
"1billionloves",1
"1blackcat77",3
"1chefdiva",1
"1cm4",1
"1cooltommy",1
"1crazycow",1
"1d__chloe__1d",1
"1d_taylorr",1
"1damazingvoices",1
"1dancingcrane",1
"1dbiebercrews",1
"1dhazzaboobear",1
"1djbiebbsss",1
"1drunkdog",1
"1dsfangirlies",1
"1dsmule",1
"1freetruth",2
"1idvet",1
"1lagba",1
"1lofa_guy",1
"1love_p",1
"1megsunnysideup",1
"1mm4gc",1
"1news2news",2
"1nothingspecial",1
"1patriciad",2
"1redsoc",1
"1rosina",2
"1seashell",4
"1semperfidelis1",1
"1spinnellie",1
"1sthealthnews",1
"1stjefferyblack",1
"1sttimemomndad",1
"1to5_kissshinki",1
"1toughsweetie",1
"1viperbabe",1
"1wickedrage",1
"2000thor",1
"2009_sofi_",1
"2009superglide",1
"200fifi",1
"2012electionday",1
"2040health",1
"211ontario",1
"214net",1
"215tayyib",1
"21cteach",1
"22fourcom",4
"22inchstrong",1
"22mcleod",1
"2380cmb",1
"23jordyn23",1
"23joselyne",1
"247blogincom",1
"247fitnesstips",1
"24hrshealthnews",5
"24tex",1
"25pasi",1
"28parrot",1
"2975days",1
"2ataskforce",1
"2bkk",1
"2bkneedeep",1
"2blackgeeks",2
"2braidsz",1
"2cully",1
"2cute1983",1
"2eat4health",1
"2enchantu",2
"2fat2bethin",1
"2fbs",1
"2fhaymus",1
"2foodie",1
"2freelancer",1
"2goods2",1
"2gwg",1
"2ia85",1
"2lilacs",1
"2litist",1
"2loony1",1
"2mexla",2
"2miche",1
"2nd_to_none",1
"2nightalive",1
"2nihon",1
"2ohmygata",1
"2owt4tv",1
"2purpleroses4de",1
"3_allysa_10",1
"30secondstohan",1
"310and818tutor",1
"311er",1
"365healthbeauty",1
"365nooses",1
"38_28_38",5
"3adel80",1
"3asfoorr",1
"3ashou",1
"3barbarasc",1
"3chicspolitico",2
"3lonnie",1
"3mendous",1
"3milyjean",1
"3omar3lii",2
"3os_knight",1
"3peatkalz",1
"3pennymovies",2
"3randen",1
"3rdventurebro",1
"3stevedavis",2
"3verything0nce",1
"4_rodger",1
"4029news",1
"41r33n",1
"420jes",1
"42bkdodgr",1
"42fordprefect",1
"43versh0rt",1
"4567eh",1
"458cincinnatus",1
"45social",1
"46nascargirl",1
"49ersgop",1
"4apieceofmymind",3
"4chunat1",1
"4everbrokendead",1
"4ftshorty",1
"4jazzcme",2
"4latifa4",1
"4lisaguerrero",1
"4loot",1
"4mnt",1
"4playkang",1
"4pound_412",1
"4purpose",1
"4rankle",1
"4rockinrobin4",1
"4thstreetforum",1
"4us2makemoney",1
"4visionpr",1
"4wardthink3r",1
"4whatworks",1
"500movies",1
"50shadesofalg",1
"50shadesofdolma",1
"51percentofus",2
"528pamela",1
"52filmsayear",1
"52york",1
"57delmar",1
"587kriss",1
"59poundsplease",1
"5catjenny",1
"5ftmunchkin",1
"5hanah5",1
"5hobi",1
"5lk9a7i",1
"604jeremy",1
"64bitwar",2
"64moaty",1
"67clergycouncil",1
"68tnc_hawks",1
"69quietgirl",2
"6lambsmom",1
"6thclagniappe",1
"6tulloch",1
"7_skceb",1
"74vman",1
"75liberty94",1
"76_yaya",1
"7609amandabass",1
"76nnow",1
"7echno",1
"7thclouds",2
"7yyz",3
"800273talk",1
"80sgirlforever",1
"80tg",1
"81taktsukada18",1
"84_kate",1
"87discogirl",1
"88marina88",1
"8bitlibrary",1
"8clix",1
"8zz8",1
"911_veterans",1
"911safety",1
"93slick",1
"9746lak",1
"98apples",1
"98pounds",2
"990layaan",1
"995kfun",1
"999kisw",2
"99groy09",1
"9carey",1
"9inningtech",1
"9jafuture",1
"9jaguru",1
"9w2muc",1
"a_a_md",1
"a_cantillo",2
"a_catindahat",1
"a_closed_book",1
"a_cots",1
"a_gaw",1
"a_man_named_ed",2
"a_mattioli",1
"a_mgdee",1
"a_picazo",2
"a_reyess25",1
"a_sondhi",1
"a_turing_test",1
"a1transcription",1
"a2burns",2
"a2bwithdignity",2
"a2zenfm",1
"a67miranda",1
"aa_alliance",1
"aaarf",1
"aabradleycooper",8
"aac_tweet",1
"aacap",34
"aadiibfiikrii",1
"aaf_mafa",1
"aafroditee",1
"aahhliii",1
"aaleksey1",3
"aaliahtilly",1
"aaliyahstarzz",1
"aalonah",1
"aaminahmalek",1
"aariyll",1
"aaron8mat",1
"aaronbattftw",1
"aaroncalafato",1
"aaroncc_",1
"aarondlorenz",1
"aarongsquirrel",1
"aaronhoff",1
"aaronjamesf1",1
"aaronmash",1
"aaronmdellutri",1
"aaronnotpoor",1
"aaronrauber",1
"aaronrussin",1
"aaronsenviro",1
"aarrogan",1
"aashimagoswami",1
"aatien777",1
"aatjago",1
"aavh_",1
"aavmp",1
"aawayne",1
"aawinchestermbe",1
"aawpv",1
"aayoungblood12",1
"ab_builder",1
"ab_exercises",1
"abandontheherd",1
"abasketcasey",1
"abatcha_2",1
"abbahadi",1
"abbas_faizi",1
"abbaskhatamian",1
"abberoo",1
"abbeyelise3",1
"abbeyroad0711",1
"abbie_leonhunt",1
"abbie0mg",1
"abbieelizabethc",1
"abbiekaneswaran",1
"abbierevolution",1
"abbiewhite31",2
"abbott_psych",1
"abbszzz",1
"abby7jean",1
"abbyboruff",1
"abbycruzy",1
"abbymcshannon",1
"abbynrghealing",1
"abbyopheliac",1
"abbyreineckmd",1
"abc",2
"abcandx",2
"abcdellen",1
"abcjanoskians",1
"abcnews4",2
"abcnews4webgrrl",2
"abcnewsdc",1
"abcnewshub",1
"abcnewsjustin",1
"abcpolitics",1
"abcpoliticsfeed",1
"abcwnn",1
"abcworldnews",2
"abcxyz1911",1
"abditweet",1
"abdrizzy_",1
"abdul_calipha",1
"abdul_semi",1
"abdullahia93",1
"abdullahumaidh",1
"abe1201",1
"abejnrcharles",1
"abelicous",1
"abenegesserit",1
"abeoudshoorn",1
"abesportsmart",1
"abhasagnihotri",1
"abhilashshuklaa",1
"abhinary",1
"abhishekkrsing6",1
"abhmass",1
"abid_ism",1
"abigailayers",1
"abigailb",2
"abilityco",1
"abilityhub",1
"abipandya",1
"abisqueakle",1
"abissicus",1
"abitofbrownsuga",1
"ableworks",1
"abmckay",1
"abmultosannos",1
"aboohassim",1
"abou_pbs",1
"abramslaw",1
"abrock_93",1
"abronzedgoddess",1
"abrounty",1
"absurdspoonful",1
"abu_aaid",1
"abuliberali",1
"abungle",1
"abuschmeier",1
"abuse_journals",4
"abusoru_",1
"abutcherswife",1
"abutterfly123",1
"abvma",1
"abzfinn",1
"ac_conferences",1
"ac1freeport",1
"academicgeek_",1
"academicportal",1
"acadiahospital",1
"acallan1",1
"acangelcats4",1
"acapellaaa",1
"acassarella",1
"accardzbitch",1
"accdisabilities",1
"accessarch",2
"accesscelebnews",1
"accesshealth",1
"accessiblela",1
"accessiblestate",1
"acciomeera",2
"accipita",1
"according2jovan",1
"according2moi",1
"accordingtoarcs",1
"accountventing",1
"acehardwarematt",1
"acehudsonjr",1
"acejet",1
"aceofpotatoz",1
"acha_tweets",1
"achobak",1
"achorowitz",5
"achrisriley",1
"acimquotes",1
"acmclauchlan",1
"acmesalesrep",1
"acmhn",2
"acorok",1
"acp__",1
"acqky",2
"acreia",1
"acrosstheboard",1
"acrouts",1
"acscnynj",1
"acshorg",1
"acswa",3
"acta_non_verba",1
"actdontreact",1
"action_alliance",1
"actionnews5",1
"actiononpp",1
"activemindsfiu",2
"activemindsjccc",1
"activemindsumd",1
"activemindsyork",1
"activistmomma",1
"actor51",3
"actorgal27",2
"actorguy19",2
"actsafe",2
"actskingsnqueen",1
"actsofcompass",1
"actualites_",2
"actualjellyfish",1
"actuallygriffin",1
"acuiowa",1
"acuriouskitten",1
"acutenewmedia",2
"acys_youthinfo",2
"ad_wag",1
"ad0re_her",1
"ad234512",1
"ad322",1
"adadcalledspen",3
"adairparrmd",2
"adam_siddiqui",1
"adam_swfc",1
"adam_turk13",1
"adam_zander",1
"adam19r",1
"adam4004",1
"adamanteve",1
"adambafcdrew",1
"adamcvalentine",1
"adamf2384",1
"adamgadberry",1
"adamgdunn",3
"adamgoodallyes",1
"adamgrydzan",1
"adamhingley",1
"adamizer1",2
"adamjrawlins",1
"adamkirkedge",1
"adampasick",1
"adampierson13",1
"adamrcohen",1
"adamsargon",1
"adamshapiro",1
"adamsilke",2
"adamsmith45885",1
"adamsnider14",1
"adamsthepulse",1
"adamtayl0r",1
