"source","target"
"backyardconserv","gatewaypundit"
"ae53","attackerman"
"hulley22","drfarls"
"catvargas","mattob34"
"JPBertsch","gwbertsch"
"troubled_doodle","P0TUS"
"Palestine4eva1","ellekay_"
"melissarlerma","piersmorgan"
"GarbledMsg","toddstarnes"
"Norsu2","TheAngelicaw"
"Jeanniiie","Heritage"
"Jacob4Freedom","LibertyPoet"
"Okotomoto","dandrezner"
"TeegeTheeGreat","JulieBorowski"
"Ctron164","vinabean"
"vickielynnr","t_christe"
"blackrepublican","NewCentrist"
"CynthiaCHeath","justin_hart"
"BTunink","southernavenger"
"ColtAbles","MattMackowiak"
"umairh","drgrist"
"chrisargyris","attackerman"
"MatthewSoerens","MatStaver"
"alexrharrington","southernavenger"
"TheRealCos_Jr","stillblazingtho"
"MarcNo","BorowitzReport"
"ShannonKustra","laurabonnema"
"Sleevetalkshow","MickiisaCainiac"
"canadians4mitt","dickmorristweet"
"McDowellConserv","BrentBozell"
"rottenartrants","owillis"
"floridajewel","Adenovir"
"itsmycountrytoo","omarbaddar"
"FinchHaven","cliffschecter"
"occupyitall","EhabZ"
"MorgaineSwann","blogdiva"
"Padoozles","WILLisms"
"Steve4menuk","Ro_Camarena"
"ansarim","attackerman"
"Jcoltrinari","SeanInCali"
"dceiver","jbplainblog"
"AKr3volution","RonPaul"
"blogbat","atlasshrugs"
"someloudcheese","LOLGOP"
"PhoenixWomanMN","CraneStation"
"Rnage1313","Markey_V"
"BlueSunDrops","GovGaryJohnson"
"romualdcadet17","CNNLive"
"JCQian","washingtonpost"
"truluv4liberty","bollyweed"
"djrothkopf","SlaughterAM"
"noonanjo","attackerman"
"drfarls","attackerman"
"EllieNoVATea","CSteven"
"getoffmybed","LOLGOP"
"profblmkelley","davidbadash"
"jackhutton","faceman68"
"JayKur","THEHermanCain"
"sic840","rkrishnakumar"
"dschrimpsher","GaltsGirl"
"andresdavid","JoeMyGod"
"BeLinDJY","cnnbrk"
"JamesJetsOften","jackhutton"
"Rachelle777","PerryTruthTeam"
"RMFosterJr","Veribatim"
"thenewinfluence","southerntalker"
"nietoplease","drgrist"
"ConservaRedbird","SAMMIESMILES8"
"sherijr","TheReidReport"
"Newt2012NH","tjomac"
"scyeatts","APBBlue"
"arra","Heritage"
"TheRealSnakes","BorowitzReport"
"irishduke2","TinaKorbe"
"HolyBats","AKr3volution"
"lovethebay","attackerman"
"rachb314","AnonyOps"
"msbs05","USPassenger"
"jasonmsaul","skooks"
"jbendery","chucktodd"
"backyardconserv","LegInsurrection"
"skthatch","blackrepublican"
"historianmjs","Clarknt67"
"jgaines_phd","rolandsmartin"
"Swish51","Smalltalkwitht"
"lizt8","buddyroemer"
"OMBSRadio","SNOOPaLUPE"
"Hardline_Stance","SamValley"
"MMJlegal","GovGaryJohnson"
"gordonfactor85","BrentTeichman"
"Dale4Congress","alexcast"
"waltonrobinson","TheFix"
"PilarMarrero","blogdiva"
"kastradamous","Askari4Cain"
"Mitguy01","attackerman"
"LLesliee","toddbarry"
"petermag2","southernavenger"
"RBolchThach","kathryndelong"
"glenmcdaniel","anamariecox"
"MaxeenDeniro","TrueBlueLiberal"
"sherights","JamilSmith"
"goodinohio","BlackSheepRpt"
"TheVeganBelle","kyleraccio"
"WerewolfinMN","FRwritings"
"jessicamalaty","ashong"
"nan0werx","DougBenson"
"allanbrauer","TheReidReport"
"profg","IcarusPundit"
"Jay_Tomes","kwallacebg"
"DRINKN_H8ERADE","_k_e_v_"
"HMDenigan","RodDMartin"
"jonward11","peterdaou"
"Jcoltrinari","icecoldmoloko"
"CGD0027","TexanIndiana"
"DCPlod","Pres_Bartlet"
"PsychicLisaLong","txvoodoo"
"Wise_Diva","DorianDavis"
"KLSouth","gatewaypundit"
"Che_Riles","dwitzel"
"qwerty1326","SethAMandel"
"tad_482","EWErickson"
"moorepolitics","Dbargen"
"KatrinaPierson","TeamBachmann"
"larrydevorejr","piersmorgan"
"VTwinCrucible","atlasshrugs"
"vickielynnr","normk58"
"AndreaG114","SlaughterAM"
"Mamitrace","kesgardner"
"sarahblackstock","emilcDC"
"charlesgarrison","southernavenger"
"kishkafka","attackerman"
"drandreaj","owillis"
"GarbledMsg","blackrepublican"
"IngerRobberstad","nyformitt"
"doctor_jones","southernavenger"
"dandrezner","conor64"
"oldivory","MsDiva67"
"liberty_dj","BrentBozell"
"CRENpolitics","PolitixGal"
"arizonascge","rolandsmartin"
"Abcdgaf","stillblazingtho"
"arra","Heritage"
"KlippetyKlop","P0TUS"
"ParkHyunHae1118","plutoniumpage"
"chipdizard","rafaelmarquez"
"ForLoveofGreen","piersmorgan"
"VallyOMally","BorowitzReport"
"matteooo000","WILLisms"
"ryanra","BryanJFischer"
"jbplainblog","conor64"
"Korlis","dandrezner"
"Chrisposure","piersmorgan"
"","grantcardone"
"usernamenuse","krimarie10"
"Jcoltrinari","rustint"
"deliziosa","CGS_DC"
"natthedem","delrayser"
"4eversafiya15","rolandsmartin"
"the_urban_nerd","JayDabhi"
"TXBonnieBelle","CSteven"
"Chillrelaxed","blackrepublican"
"Visionaryck","DemocratMachine"
"fueledbylidia","politicoroger"
"CA4HermanCain","JohnWillyams"
"Sleevetalkshow","AdairsvilleRob"
"senorpaco","SaraJBenincasa"
"TYthaGreat","SmartAZZ6"
"kambui","JamilSmith"
"Vondumptruck","BorowitzReport"
"BeltwayBlondie","Pres_Bartlet"
"djroze","LibertyPoet"
"ribletsonthepan","Nupe117"
"HelenJonal","Ben_Howe"
"CnoirBlaque","piersmorgan"
"AllieLee5","buddyroemer"
"jenilock","politicoroger"
"kabugithedj","BorowitzReport"
"Mr_Weed_Stash","CBSNews"
"petulantskeptic","conor64"
"joerut","rolandsmartin"
"PilarMarrero","rolandsmartin"
"RWBowen","tslatts10"
"fabiomoraes","CBSNews"
"KAPARAZZI","marissaaevans"
"freetheleaf","420dailynews"
"rivenhomewood","OWSLibrary"
"Keith_Whitmire","GerardMulligan1"
"TylerMartell17","STL4Huntsman"
"TeegeTheeGreat","cnnbrk"
"markwhitt1","P0TUS"
"wjs196","ologies"
"elcap2010","DouglasCWalker"
"DGarmer","BorowitzReport"
"polipaca","BorowitzReport"
"DavidHollander","JamesFallows"
"CGD0027","WI4Perry"
"VMLOCK","rolandsmartin"
"MattL31B","washingtonpost"
"EliseW222","rolandsmartin"
"MurnPost","SlaughterAM"
"TinaRevers","HollywoodRepub"
"Bruno_Gianelli","PresidentAdams"
"seaneddington85","BorowitzReport"
"JoshuaMolina","diggaduh"
"lfkraus","cliffschecter"
"KeithB18","conor64"
"GeeFRMG","rolandsmartin"
"SpacedOwt01","BorowitzReport"
"vrexford","TheFix"
"waflanagan","Clarknt67"
"superbug75","Moizzil"
"HalfMadPoetic","SHANEintheMIA"
"arra","Heritage"
"DatIzzyKid","TinaKorbe"
"barkway","skrspooky"
"countrytino","Heritage"
"joonsang86","DAbitty"
"liberalminds","Bullgadash"
"mytngenes","MelissaTweets"
"johnhawkinsrwn","TinaKorbe"
"Pnthrgrlgail","MelanieDNC"
"Gabesmom","marklerette"
"DogloverUSA","PoliTexan"
"adamdjacobson","jamietarabay"
"WhitneyLeann_R","MaggieMayOK"
"MurbsSox","BorowitzReport"
"NovaTess","JamilSmith"
"LucasAndreww","fakedansavage"
"MyStrongAmerica","washingtonpost"
"zacksoccer","TheFix"
"MulliganStew63","BorowitzReport"
"JamesWithers3","dandrezner"
"PettyFan43","chuckdevore"
"usernamenuse","sierrawallman"
"alexrharrington","KellyAlysia"
"20cc0","dolphinsrapeppl"
"Ramon_HYFR","HedgefundPLAY"
"RealMReynolds","TheRickWilson"
"IngerRobberstad","dickmorristweet"
"TheBabayaga","TheFix"
"treypicou","Sarah_SV"
"greensquirel","P0TUS"
"mockthebells","toddbarry"
"blackrepublican","GOPBlackChick"
"dangainor","StuJames"
"livecut","piersmorgan"
"althusiast","southernavenger"
"qaesar1","LOLGOP"
"rich_special","cnnbrk"
"MsWatchMeWork","AfroChicVa"
"blkMYmorris","IFallsJohnson"
"HolyBats","Hggrty666"
"GeoffBurr","RhondaBentz"
"RobertWilesUSA","atlasshrugs"
"moorehn","ReformedBroker"
"Elle_Jae_","NatJournalBaron"
"StephCantizano","BorowitzReport"
"grimacetjackson","TheFix"
"RodDMartin","RonNehring"
"g3vol","PoliTexan"
"EganJ","DougBenson"
"Egyptianism","peterdaou"
"DonaldCookJr","KatiePavlich"
"Redone68","badspllrzuntie"
"DrLorax1","SlaughterAM"
"LattMoman","mattfraction"
"J__Swift","VPace"
"ROOSTEREGB","GerryDuggan"
"Salvor_Hardin__","wombat1974"
"ZombieElvis","aishatyler"
"VanessaAKnox","colonialdude"
"PassBroShops","southernavenger"
"WP_CLAY","swalchek"
"jruha","cliffschecter"
"ambejo","dirtymartinigal"
"aunt_viv","rolandsmartin"
"Silicon5","BorowitzReport"
"malex2208","piersmorgan"
"ACDems4Change","stevenlwalker"
"jonathancoley","conor64"
"Tweetinchecky","rweingarten"
"occupyblipfm","buddyroemer"
"itsme_d","piersmorgan"
"jenbuesinger","piersmorgan"
"TechGonzito","cnnbrk"
"AmericaNeedsMR","nick_ramsey"
"Grieboski","LOLGOP"
"TheMaryMaxine","PreDraX"
"lindagaboardi","fatherz"
"Babytoothdoc","rolandsmartin"
"shaunica","Pres_Bartlet"
"tanehisi","sullydish"
"mtokeefegofloor","punditreview"
"krissy_monster","LOLGOP"
"scyeatts","kengpdx"
"ahdiaz","benpolitico"
"POLITICO2012","GingerGibson"
"hollabingbang","THEREALMACTOS"
"jayemefff","rationalists"
"dannolan","sullydish"
"SpreadButter","Heritage"
"LittleFlos","KLSouth"
"RocketMom5300","KLSouth"
"jamiekilstein","drgrist"
"ALLIEgDC","petridishes"
"twiddleLa","cnnbrk"
"Fool4Christ10","Heritage"
"jennacrowder","endeavoringE"
"conncarroll","keder"
"andywildman","JonVictorino"
"stjohnswoods","dickmorristweet"
"dglasscock","pvenable"
"hubbit","BorowitzReport"
"apcoelho","dmataconis"
"CowboyDanPaasch","DCdebbie"
"FreeRangeK","ryangrim"
"BMoreBirdsNest","rationalists"
"gdert9","gatewaypundit"
"WI4Perry","runedart"
"ToniCoultress","JimmyLaSalvia"
"BossyChick","rolandsmartin"
"billjusino","delrayser"
"joelhousman","delrayser"
"BeLegalOrLeave","KLSouth"
"88paolo","rationalists"
"ErinLShaver","Pres_Bartlet"
"joethegr8one","Be4Long"
"blogdiva","FilmLadd"
"markwhitt1","blogdiva"
"David_Mc_Donald","rationalists"
"Zoocritter","MulliganStew63"
"gabehaugland","dickmorristweet"
"mreroe","WILLisms"
"rivenhomewood","txvoodoo"
"latinorebels","vanesmith777"
"MegE_N","TonyRomm"
"adambodily","GarrettNBCNews"
"el_cseh","nealcarruth"
"radioglenn","nickmarschel"
"SeanMallory","AnonyOps"
"voterschoice","420dailynews"
"PatriotintheUSA","Heritage"
"mriverosc","DMatamala"
"AnyaArisohn","RepublicanRocks"
"PaisleyPosey","AC360"
"DoniLynn","LOLGOP"
"BfloBEAST","DEdwardBeck"
"Anneka31","piersmorgan"
"munirahayati","Heritage"
"jagosaurus","LOLGOP"
"martycollinsesq","rationalists"
"jmofaustin","BlackSheepRpt"
"conormannix","conor64"
"joelhousman","PaulBegala"
"JBallengeePC","dandrezner"
"stevenhalloran","itswilltime"
"seantheanalyst","dickmorristweet"
"curiouscliche","pandagon"
"RafaelMorataya2","marcia_facundo"
"davidzaret","ReformedBroker"
"hangermule","Pres_Bartlet"
"MMCAIN09","drgrist"
"DaveyHo69","FingersMalloy"
"Aileen_DeCuir","acarvin"
"CalebYeeUSA","dickmorristweet"
"hkreid","Pres_Bartlet"
"clubepicurean","piersmorgan"
"faceman68","shawnpwilliams"
"bbtlandia","TheChurl"
"IamHugoArenas","washingtonpost"
"Tcon29","jeffpearlman"
"stjohnswoods","Dbargen"
"suzettab","Heritage"
"UsurperPete","ndhapple"
"coachsuggs","rolandsmartin"
"cherylburkes","BorowitzReport"
"NoWatchMe","irishspy"
"cierrageer","piersmorgan"
"redryderr","stillblazingtho"
"landonmccool","PaulBegala"
"MariaRGonzalez7","Rozzario10"
"nmosvick","conor64"
"mdrfl","paulwaldman1"
"joshbranson","Heritage"
"cherylburkes","timothy_stanley"
"AsianConsBlog","EWRoss"
"StephenBabe","TheFix"
"Yannerswen","badspllrzuntie"
"Jcoltrinari","ImInOBAMA2012TN"
"GYoungJr","SooperMexican"
"WyattSYLG","SooperMexican"
"evilmatthew","djsarahspin"
"AbrahamFarooqi","BorowitzReport"
"moosebegab","CharlesBivona"
"tjomac","Heritage"
"ManWithoutPants","ryangrim"
"spsenski","PaulBegala"
"Omnimojo","Remroum"
"TinaKorbe","bethanyshondark"
"marabout40","TheReidReport"
"FelipeEstefan","AshleyRParker"
"MsWatchMeWork","TheReidReport"
"finnygo","rickklein"
"greensquirel","BryanJFischer"
"LittleFlos","SamValley"
"mytngenes","Jarjarbug"
"TampaGurlFL","WftRight"
"RulingCouncil","umarsattar"
"cupcake4120","nakedwolipstick"
"peterantosh","abrahamjh"
"aaronburns","Paeter_Michael"
"skatealex2","WorldVisionNews"
"sherijr","Drawmark"
"wolverine_killa","SeaTowN"
"thescepter","blackrepublican"
"Lehigh389","JamilSmith"
"DEdwardBeck","conor64"
"TomHeadLovesYou","drgrist"
"USpace123","buddyroemer"
"AccordingToMe24","LOLGOP"
"MegE_N","studentactivism"
"nolesfan2011","dangainor"
"Sleevetalkshow","Katie4Politics"
"TonyScarpitti","rationalists"
"RyAnthonyM","CBSNews"
"_airplanemode_","TheNewDeal"
"SweetieSitake","TJ4757"
"Libertarian52","aprildgregory"
"KMB2476","PaulBegala"
"CRENpolitics","FloridaJayhawk"
"AhmnodtHeare","GaltsGirl"
"igetgreens","owillis"
"ChrisJMGreen","PaulBegala"
"TilebySDC","P0TUS"
"louiietae","lizadonnelly"
"menablog","acarvin"
"innerproduct","attackerman"
"wamilson","Alex_Teta"
"SrtaConn","SlaughterAM"
"HMDenigan","RodDMartin"
"mikefehl","BorowitzReport"
"andrewmcintyre","PaulBegala"
"jbendery","howardfineman"
"FireobamaIn2012","THEHermanCain"
"RyanJGill","RonNehring"
"FoL2009","GottaLaff"
"voiceMLINE","LOLGOP"
"KinkiCurliGirl","LOLGOP"
"blackthisout","southernavenger"
"Tachyon_Web","BlackSheepRpt"
"Tweetinchecky","BorowitzReport"
"joybrk","BorowitzReport"
"sashaundercover","delrayser"
"msjamerica","rolandsmartin"
"blatta_in_al","breeannehowe"
"FrenchysHsePrty","JoeMyGod"
"larimah","TheReidReport"
"TheRezaPratama","piersmorgan"
"doncooleo","Jeff_DeLuca"
"srhodes214","BorowitzReport"
"FlywayFilmFest","conor64"
"mikeschinkel","peterdaou"
"Mo_Saqib","Pres_Bartlet"
"octavio_medina","Pres_Bartlet"
"dnrndn","LibertyTango"
"corrcomm","NYPostOpinion"
"YouriPhx","EdEspinoza"
"greenfrog12","JoeMyGod"
"GoforthandC","LOLGOP"
"KnowYourObama","BorowitzReport"
"SawyerHackett","Pres_Bartlet"
"MrNickDyer","southernavenger"
"runedart","WILLisms"
"PropagandaZA","HuffingtonPost"
"PPLfeed","CNN"
"occupyblipfm","rolandsmartin"
"haywirehalo","ggreeneva"
"bkb2443","sallyeastman1"
"drgoddess","alpha1906"
"Friend_Foe","mpthomas1"
"Bombadier_12","LOLGOP"
"TheChickAbides","BorowitzReport"
"GarbledMsg","gatewaypundit"
"stephazilla","goodreverend"
"Newt2012NH","Foxchick242"
"CH13FMARIN","as_promised"
"CGD0027","TimAlbrechtIA"
"MurnPost","globeglen"
"tothepeople","notjessewalker"
