"time","tweets"
"11/23/11 2:45",1178
"11/23/11 2:46",1378
"11/23/11 2:47",1328
"11/23/11 2:48",1291
"11/23/11 2:49",1207
"11/23/11 2:50",1279
"11/23/11 2:51",1337
"11/23/11 2:52",1456
"11/23/11 2:53",1386
"11/23/11 2:54",1288
"11/23/11 2:55",1263
"11/23/11 2:56",1351
"11/23/11 2:57",1341
"11/23/11 2:58",1413
"11/23/11 2:59",1435
