native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
143,53,"2007-06-29 00:11:45",2.1,2007,6,29,f4882118-c0a8-0169-2a8c-eeea7112fe91,0,0.00267865143390262,"[api] AbstractRepositoryTaskEditor needs to be decomposed"
143,304,"2007-06-29 00:11:45",2.1,2007,6,29,f4882118-c0a8-0169-2a8c-eeea7112fe91,1,0.00268760892345625,"[api] AbstractRepositoryTaskEditor needs to be decomposed"
143,143,"2007-06-29 00:11:45",2.1,2007,6,29,f4882118-c0a8-0169-2a8c-eeea7112fe91,1,0.00268785655038159,"[api] AbstractRepositoryTaskEditor needs to be decomposed"
143,399,"2007-06-29 00:11:45",2.1,2007,6,29,f4882118-c0a8-0169-2a8c-eeea7112fe91,1,0.00438319211010174,"[api] AbstractRepositoryTaskEditor needs to be decomposed"
143,373,"2007-06-29 00:11:45",2.1,2007,6,29,f4882118-c0a8-0169-2a8c-eeea7112fe91,1,0.00628967728609898,"[api] AbstractRepositoryTaskEditor needs to be decomposed"
143,143,"2007-06-29 00:45:52",2.1,2007,6,29,f4882ddf-c0a8-0169-2a8c-eeea3a30af01,0,0.00271558187201493,"convert hyperlink detectors in Task Editor to Eclipse 3.3 hyperlink detectors"
143,304,"2007-06-29 00:45:52",2.1,2007,6,29,f4882ddf-c0a8-0169-2a8c-eeea3a30af01,1,0.002718180505759,"convert hyperlink detectors in Task Editor to Eclipse 3.3 hyperlink detectors"
143,143,"2007-06-29 01:31:04",2.1,2007,6,29,f48951f1-c0a8-0169-2a8c-eeea01fff421,0,0.0251217255509152,"editors opened for repository tasks are missing web browser button"
143,304,"2007-06-29 01:31:04",2.1,2007,6,29,f48951f1-c0a8-0169-2a8c-eeea01fff421,1,0.0350896196479126,"editors opened for repository tasks are missing web browser button"
143,143,"2007-06-29 01:41:27",2.1,2007,6,29,f48962d5-c0a8-0169-2a8c-eeea2312690b,0,0.99,"invoking duplicate search introduces outgoing changes"
143,143,"2007-06-29 10:05:47",2.1,2007,6,29,f48963e0-c0a8-0169-2a8c-eeea399d041c,0,0.99,"server validation fail on jira 3.10 servers"
399,143,"2007-06-29 10:48:45",2.1,2007,6,29,f48963e0-c0a8-0169-2a8c-eeea399d041c,0,0.150973584629279,"server validation fail on jira 3.10 servers"
143,399,"2007-06-29 11:14:30",2.1,2007,6,29,f48963e0-c0a8-0169-2a8c-eeea399d041c,1,0.194154973786802,"server validation fail on jira 3.10 servers"
365,365,"2007-06-29 11:17:39",2.1,2007,6,29,f4895cab-c0a8-0169-2a8c-eeea57d44687,0,0.0253929642141076,"Content assist: I see 2 of everything"
365,365,"2007-06-29 11:17:39",2.1,2007,6,29,f4895cab-c0a8-0169-2a8c-eeea57d44687,1,0.0254180602151733,"Content assist: I see 2 of everything"
