node,degree,output
  1,  3,  8
 35,  4, 24
143, 20,129
159, 16, 85
164,  2,  7
173, 11, 77
194,  1,  1
196,  2,  2
212,  4, 37
216,  3, 10
258,  5,  9
295,  3,  4
304, 42,145
310,  4, 14
323,  6, 11
328,  2,  6
367,  4, 23
373, 23,190
391,  7, 59
399, 25,209
410,  5, 20
430,  3,  4
457,  4, 17
463,  5, 50
