node,degree,output
  1,  2,  5
 35,  3, 16
118,  2,  2
143, 10, 93
159, 16, 67
173, 12, 25
212,  4, 18
258,  3,  4
295,  2,  4
304, 22,153
310,  2,  2
323,  4, 34
373,  8, 50
391,  8, 56
399, 13,201
457,  5, 14
463,  6, 25
