node,degree,output
  1,  1,  2
 68,  4, 15
118,  2,  2
143,  7, 18
159, 14,133
164,  6, 47
173,  4, 11
193,  1,  1
196,  2,  5
212,  1,  5
216,  3,  5
238,  1,  1
258,  6, 24
304, 36,187
310,  8, 76
323,  3,  8
373, 13,100
391,  6, 53
399, 29,378
410,  1,  5
416,  2,  3
457,  5, 48
